txid,canonical_wallet_id,detector,priority_tier,xgb_proba,if_score,top_reasons,top_feature_1,shap_1,top_feature_2,shap_2,top_feature_3,shap_3
397bc1fd2995402cba8849541049df4d,376,both,high,0.9999937,-0.1953216914258059,"burst of tx in the last hour (sender_tx_count_1h=23, impact=+7.523); high tx volume in 24h (sender_tx_count_24h=23, impact=+1.919); abnormal fee amount (fee=0.000811, impact=+1.027)",sender_tx_count_1h,7.5235,sender_tx_count_24h,1.9192,fee,1.0273
7f2a882456b34c0faf2edecccff85dcd,353,both,high,0.99999297,-0.045753269968554,"burst of tx in the last hour (sender_tx_count_1h=4, impact=+7.964); high tx volume in 24h (sender_tx_count_24h=4, impact=+1.945); abnormal fee amount (fee=0.0008732, impact=+0.950)",sender_tx_count_1h,7.9639,sender_tx_count_24h,1.9448,fee,0.9499
d607a69b20024bdcbe281559b5157a4c,353,both,high,0.9999918,-0.1681950910050583,"burst of tx in the last hour (sender_tx_count_1h=22, impact=+8.342); high tx volume in 24h (sender_tx_count_24h=22, impact=+2.060); abnormal fee amount (fee=0.0008308, impact=+0.855)",sender_tx_count_1h,8.3423,sender_tx_count_24h,2.0603,fee,0.8554
fa01dce006994c4798d45df841ebad7f,579,both,high,0.99998844,-0.0890809462526759,"burst of tx in the last hour (sender_tx_count_1h=6, impact=+7.400); high tx volume in 24h (sender_tx_count_24h=13, impact=+1.964); large total BTC moved (total_input_btc=0.2137, impact=+0.968)",sender_tx_count_1h,7.4002,sender_tx_count_24h,1.9644,total_input_btc,0.9681
7bd4556c392f42a9a5da47ffeeabd8fc,353,both,high,0.9999881,-0.1435414569884445,"burst of tx in the last hour (sender_tx_count_1h=16, impact=+8.290); high tx volume in 24h (sender_tx_count_24h=16, impact=+1.973); abnormal fee amount (fee=0.000793, impact=+0.961)",sender_tx_count_1h,8.2902,sender_tx_count_24h,1.9733,fee,0.9606
34de5c1f8b1a4c0492b7338bcf0cd494,579,both,high,0.9999871,-0.0034006264002289,"burst of tx in the last hour (sender_tx_count_1h=4, impact=+7.258); high tx volume in 24h (sender_tx_count_24h=4, impact=+1.907); large total BTC moved (total_input_btc=0.2191, impact=+1.012)",sender_tx_count_1h,7.2576,sender_tx_count_24h,1.9071,total_input_btc,1.0124
5a481b79fd9c4fb4ac68182d372bac0f,353,both,high,0.99998677,-0.1584421223545682,"burst of tx in the last hour (sender_tx_count_1h=12, impact=+8.308); high tx volume in 24h (sender_tx_count_24h=12, impact=+1.703); consistent ASN recently (sender_distinct_asn_last10=8, impact=-0.674)",sender_tx_count_1h,8.3083,sender_tx_count_24h,1.7031,sender_distinct_asn_last10,-0.674
0791261734344e03ac8b1580a5816ad1,353,both,high,0.9999863,-0.15880281912624,"burst of tx in the last hour (sender_tx_count_1h=21, impact=+8.038); high tx volume in 24h (sender_tx_count_24h=21, impact=+2.014); abnormal fee amount (fee=0.0008098, impact=+0.944)",sender_tx_count_1h,8.0383,sender_tx_count_24h,2.0141,fee,0.9442
91c5cd40bfb44fa48d51c05a0a1581ba,376,both,high,0.9999858,-0.1532311760458903,"burst of tx in the last hour (sender_tx_count_1h=10, impact=+7.793); high tx volume in 24h (sender_tx_count_24h=10, impact=+1.985); rapid repeat transacting (sender_time_since_last_tx_min=1.333, impact=+0.823)",sender_tx_count_1h,7.793,sender_tx_count_24h,1.9847,sender_time_since_last_tx_min,0.8231
5c1f0d30f4d443df9669388aab09bbb7,376,both,high,0.9999858,-0.148986261492293,"burst of tx in the last hour (sender_tx_count_1h=11, impact=+7.733); high tx volume in 24h (sender_tx_count_24h=11, impact=+1.963); rapid repeat transacting (sender_time_since_last_tx_min=0.6667, impact=+0.840)",sender_tx_count_1h,7.7328,sender_tx_count_24h,1.9635,sender_time_since_last_tx_min,0.8396
