wallet,transaction_count,incoming_count,outgoing_count,total_incoming_btc,total_outgoing_btc,avg_transaction_amount,avg_time_gap_minutes,unique_counterparties,fan_in,fan_out,unique_ips,unique_asns,rapid_transfer_ratio,split_ratio,merge_ratio,max_amount_ratio,outgoing_small_amount_ratio,asn_change_ratio,max_transactions_in_5min,peeling_chain_consistency
bc1q242c89d01d9043e39598951a0ecf64,40,26,14,0.7491376999999999,1.13761292,0.0471687655,3182.269979305983,16,9,7,50,8,0.0,0.14285714285714285,0.0,2.121372758778362,0.0,0.7948717948717948,1,0.6153846153846154
352c12ac6620c4a19873ed7752f35b8,45,20,25,1.1930957400000002,2.65758583,0.08557070155555556,2711.2536495844697,37,10,27,69,11,0.0,0.24,0.1,4.322662851630927,0.04,0.8181818181818182,1,0.4583333333333333
18aa0648b139b40d6b43ca8d80b5c48,24,7,17,0.21455228,1.7328753199999998,0.08114281666666666,5691.311970705072,15,4,11,28,3,0.0,0.35294117647058826,0.14285714285714285,1.3678719511764414,0.11764705882352941,0.5217391304347826,1,0.375
1ddf86c76fb6a41d1985ef76910cd73,23,11,12,0.47062122000000006,0.25951991,0.03174526652173913,5689.588735317425,13,6,7,29,4,0.0,0.25,0.09090909090909091,6.259057125731938,0.08333333333333333,0.5,1,0.18181818181818182
bc1qc68d8a3ba55047a28245c31b567cd2,27,10,17,0.47250048,3.37665779,0.1425614174074074,4456.997276355769,26,8,18,36,7,0.0,0.5882352941176471,0.0,1.5175632747860093,0.11764705882352941,0.46153846153846156,1,0.3125
3a5d4e20d578f44878e520041415815,17,3,14,0.12334435999999999,1.0975020599999998,0.07181449529411765,6897.719512757292,17,2,15,20,1,0.0,0.5714285714285714,0.0,1.4819220639377597,0.21428571428571427,0.0,1,0.38461538461538464
3ced030daacd743e6b8d45530a27358,30,13,17,0.55270156,0.4149903300000001,0.03225639633333333,4178.317191947127,29,12,17,38,6,0.0,0.47058823529411764,0.23076923076923078,2.8522646905760585,0.11764705882352941,0.5862068965517241,1,0.375
1621554a601c84f40a77de7b152d9d8,36,20,16,0.6930268999999999,0.1651154,0.023837286111111113,3641.3961809138095,24,10,14,44,4,0.0,0.5,0.1,8.847536549086628,0.0,0.7142857142857143,1,0.6
bc1qd4310c51d5334905acd3060b252cf4,31,21,10,2.23951148,0.8868044799999999,0.10084890193548386,4196.580431426667,19,12,7,40,5,0.0,0.3,0.14285714285714285,3.5156806854079377,0.1,0.6666666666666666,1,0.2222222222222222
bc1qeee47ae43b3a47418418aaf35dc112,25,10,15,0.40052226,0.49759157,0.0359245532,4831.215282365972,21,7,14,29,2,0.0,0.5333333333333333,0.2,1.5899197720464355,0.06666666666666667,0.2916666666666667,1,0.5
bc1qd5365fe3395f4c9da13eea60090505,37,20,17,0.87813942,1.9410336800000003,0.07619386756756756,3442.6535861939815,21,7,14,43,5,0.027777777777777776,0.47058823529411764,0.05,1.3769185965502784,0.0,0.7222222222222222,2,0.4375
