transaction_index,txid,wallet,transaction_amount,typical_amount,deviation_ratio,counterparty_count,timestamp,detected
1178,95276af357d64f17ba44129e7913db83,bc1q890b1ffc655140e388a9b12e8c1716,0.50037625,0.05581167,8.965441277782944,1,2026-06-10 08:17:22+00:00,1
1502,c21a21c77c444f88863ac7a797bfc321,bc1q890b1ffc655140e388a9b12e8c1716,0.24384534,0.05581167,4.369074424757403,1,2026-06-12 17:17:22+00:00,1
1774,79614a1a8cb54205ad8eddc1f8b6d3f4,bc1q890b1ffc655140e388a9b12e8c1716,0.2625412,0.05581167,4.704055621342274,1,2026-06-15 01:17:22+00:00,1
1888,56a7456952f649618e6cd0f3a837c652,bc1q890b1ffc655140e388a9b12e8c1716,0.23348214,0.05581167,4.183392828059078,1,2026-06-16 01:17:22+00:00,1
2066,dea98f8a12374a8d9975e118fde90501,bc1q890b1ffc655140e388a9b12e8c1716,0.1838285,0.05581167,3.2937287130093043,1,2026-06-17 08:17:22+00:00,1
2108,79391cc48ad844d2a1580e04ba4b2da6,39a96a703efd944049d396a1cec5581,0.28008305,0.09166362,3.0555530100164057,1,2026-06-17 14:44:45+00:00,1
2830,a3cfa05044894f048e4444409537a936,13d2fcf19b2604d8d83c1ae3508ab38,0.30636189,0.03801118,8.059783726787751,1,2026-06-23 09:17:33+00:00,1
2869,4eeb1b77dad14ee9bf1e622641674a1d,bc1q2c2e28eeb7d342568cd9a00e5178bb,1.13717637,0.11897103,9.55843090540613,1,2026-06-23 15:17:33+00:00,1
2885,25818401eb5b46f7b72e2b70c0696256,bc1q253726e15a884415bf4379e5999eb0,0.08359725,0.01049738,7.963629972431216,1,2026-06-23 18:17:33+00:00,1
3074,5ed4f40582444d69b4e9e5fd9ae4a36c,35e391bc9e1854bcca371e660405108,0.24362459,0.04439893,5.487172551230401,1,2026-06-25 12:17:33+00:00,1
3108,34e9089cc5074ed99e6ecdc0a6e63556,1f708887430f54f7b80084790202397,1.32484014,0.18399306,7.200489735862863,1,2026-06-25 18:17:33+00:00,1
3203,463ef15c3a2244818de5c1ff536810a1,bc1q4025e5a200094bccb345cc203f0143,0.47549647,0.05157406,9.219682724222215,1,2026-06-26 14:17:33+00:00,1
3282,8e277d97b528434194e1ff8b6b93dd55,1bc482a60e5af4e5ea9e24b83187216,0.05958932,0.01218546,4.890198646583715,1,2026-06-27 07:17:33+00:00,1
3475,3677f783eb974df5ac1e09de66dab183,38e0dac98b93446eca239484d7c57f6,0.16270549,0.04251034,3.8274332785858687,1,2026-06-28 19:17:33+00:00,1
3697,b19ccf49a5b049c4980975b65802fd86,bc1q725f502c1ddc414d9f0048ef6beef2,0.11468144,0.02929023,3.9153478822119183,1,2026-06-30 09:17:33+00:00,1
3989,a9a41c477c1248bea4c2affb2eae300d,1eae47c4af3b74228b1ab100a8fc606,0.85330656,0.13200965,6.4639710809020405,1,2026-07-02 20:17:33+00:00,1
4158,8a022b6795ae4660b126e80f56ba9e33,1682b339d41044fd1991addd09f2fc0,0.1312738,0.03125019,4.2007360595247585,1,2026-07-03 23:37:04+00:00,1
4274,ff21914250934d0a9cbd52f3e0270995,1682b339d41044fd1991addd09f2fc0,0.15197542,0.03125019,4.863183871842059,1,2026-07-04 18:37:04+00:00,1
4356,4151170547a74ec1bab36ed3041c0d64,bc1q300c1afa089b43c888267ce4268f2d,0.32110264,0.03952055,8.124953726605526,1,2026-07-05 11:17:33+00:00,1
4372,248b0f3f010e43dea228599c73def3f0,bc1q3f9cc6b54c2e46858e6a56dcc9129b,0.29544736,0.03887054,7.600804105114053,1,2026-07-05 14:17:33+00:00,1
4484,202be74be8164f01bf570544e3f822e3,1682b339d41044fd1991addd09f2fc0,0.15280613,0.03125019,4.889766430220105,1,2026-07-06 14:37:04+00:00,1
4745,ef74922e118b4b3aa1475632e788e0c1,1682b339d41044fd1991addd09f2fc0,0.22654483,0.03125019,7.24939048370586,1,2026-07-08 10:37:04+00:00,1
4967,f615a444e41f4121989e25f80029e1f1,bc1q60ddb59d7e854b1aaecf6b40e39e70,0.062613,0.01329381,4.709936429059841,2,2026-07-10 04:04:58+00:00,1
4976,13f050426dfd4b439369bd46185102ad,1682b339d41044fd1991addd09f2fc0,0.19227407,0.03125019,6.152732831384386,1,2026-07-10 05:37:04+00:00,1
5129,2c14d555043441a8a49dda077719be56,1682b339d41044fd1991addd09f2fc0,0.26608338,0.03125019,8.514616391132343,1,2026-07-11 11:37:04+00:00,1
5217,a88ee4de2a96475b86d7ed353d6e1f86,1682b339d41044fd1991addd09f2fc0,0.12813914,0.03125019,4.1004275494005,1,2026-07-12 09:37:04+00:00,1
5705,d8db04879b404196b15a23bcdcc7b45c,bc1qa0c8a15f131d4f52b05421765eb88d,0.10408563,0.01646488,6.321675590711866,1,2026-07-16 09:32:12+00:00,1
5734,7dd7191e067c4777acea338031b54b38,bc1qa0c8a15f131d4f52b05421765eb88d,0.07732071,0.01646488,4.696099212384177,1,2026-07-16 15:32:12+00:00,1
5906,c927b2b84ee247ca83048d680f15bd2d,bc1qa0c8a15f131d4f52b05421765eb88d,0.07994208,0.01646488,4.855308997089562,1,2026-07-18 02:32:12+00:00,1
6065,3cd34a44eb1044aebcf3f4f056259200,bc1qa0c8a15f131d4f52b05421765eb88d,0.15774406,0.01646488,9.580638304075096,1,2026-07-19 08:32:12+00:00,1
7313,7a1fd3cb319947b79c1c90ae0753651f,bc1q19b085a890914c489694a121e22f63,0.24934413,0.06229292,4.0027683723928815,1,2026-07-28 23:30:26+00:00,1
7547,305e2b86cbc9493182215d97887b4c76,bc1q19b085a890914c489694a121e22f63,0.39407259,0.06229292,6.326121652348292,1,2026-07-30 21:30:26+00:00,1
7739,a044b9d4ee9549cf842053f56527c674,bc1q19b085a890914c489694a121e22f63,0.20282546,0.06229292,3.2559953843871825,1,2026-08-01 11:30:26+00:00,1
8111,67117cf710084f5a918a2f2618983151,bc1q19b085a890914c489694a121e22f63,0.23531323,0.06229292,3.7775276869345666,1,2026-08-04 16:30:26+00:00,1
8123,164f558eae894f8aa87fa0a70f20b65c,352c12ac6620c4a19873ed7752f35b8,0.19803335,0.06587269,3.0063042817896157,1,2026-08-04 17:42:57+00:00,1
8126,45bc10784ae54b7ab28d73d61acd1edb,352c12ac6620c4a19873ed7752f35b8,0.28474543,0.06587269,4.322662851630927,1,2026-08-04 18:13:57+00:00,1
8816,d6a1092697b647588287a64d1e675656,394a044d309ec40a791846d45a84616,0.20616063,0.02151043,9.584217051913885,1,2026-08-10 10:23:11+00:00,1
8927,2ab67db604cb49bf81bb08fbea716063,394a044d309ec40a791846d45a84616,0.19798897,0.02151043,9.20432413484993,1,2026-08-11 10:23:11+00:00,1
9064,bbaf2018a2e94f12a5faca95f7267a2e,394a044d309ec40a791846d45a84616,0.13664316,0.02151043,6.352414154435779,1,2026-08-12 12:23:11+00:00,1
9205,3ecd93b7ea9046dca410d7e9be0ce09d,394a044d309ec40a791846d45a84616,0.06533922,0.02151043,3.037559918606927,1,2026-08-13 16:23:11+00:00,1
9388,6f90fe22bd1443b388d3d1a94c7e9e92,394a044d309ec40a791846d45a84616,0.20116401,0.02151043,9.35192880848965,1,2026-08-15 04:23:11+00:00,1
9501,c37b32fc7b22460380955eae65466a9d,394a044d309ec40a791846d45a84616,0.0995039,0.02151043,4.625844299718787,1,2026-08-15 23:23:11+00:00,1
9755,1191f45041bd407ba834002297c4a667,394a044d309ec40a791846d45a84616,0.10925129,0.02151043,5.0789914474048174,1,2026-08-17 19:23:11+00:00,1
9833,f396482db69241458e8f69c780a96ebd,394a044d309ec40a791846d45a84616,0.09337518,0.02151043,4.3409257741477045,1,2026-08-18 10:23:11+00:00,1
