txid,canonical_wallet_id,detector,priority_tier,xgb_proba,if_score
fa01dce006994c4798d45df841ebad7f,579,both,high,0.99998975,-0.0957026693331654
397bc1fd2995402cba8849541049df4d,376,both,high,0.9999851,-0.16218541829221
86b47fc24ab34223be3f764d5624d721,89,both,high,0.99998367,-0.1071874148815071
5c1f0d30f4d443df9669388aab09bbb7,376,both,high,0.9999815,-0.107612563540226
38493e47be9e468b8f06724448d1a042,353,both,high,0.99997973,-0.0522947492699705
d607a69b20024bdcbe281559b5157a4c,353,both,high,0.9999776,-0.1465677628194374
5a481b79fd9c4fb4ac68182d372bac0f,353,both,high,0.9999726,-0.1231638518304505
5402547bb3aa474699c83a941eec3081,499,both,high,0.9999716,-0.1035043497649136
c55aae2775284396a43901946fb82aac,376,both,high,0.9999713,-0.0393956547311946
c007e0d891974aba993e8e36813d1ef6,89,both,high,0.9999707,-0.1017708961542109
34de5c1f8b1a4c0492b7338bcf0cd494,579,both,high,0.9999707,-0.0062210536698434
dcea2b12b1744641a1d3833557e6c9b3,89,both,high,0.9999652,-0.1554415092407269
cde44223f83d42aab2a9e453f4622673,376,both,high,0.9999652,-0.1234534177254588
0fb6c7de8b9e419ebd423adfbc826a99,353,both,high,0.99996424,-0.1424977903488581
91c5cd40bfb44fa48d51c05a0a1581ba,376,both,high,0.99996305,-0.0997496976993129
466f7b250e804a4c9780827598e55ddb,353,both,high,0.9999628,-0.0250443539295881
a761e4ebd7d04833880cfdbaa11dca17,376,both,high,0.9999621,-0.1280854508266609
bb28858ae7c44d9b929211a9110c59af,58,both,high,0.99995935,-0.0858886583554604
dda9afb6f85946ed9e16d00ab63b35a3,306,both,high,0.999959,-0.0664212965613216
c7222a3b2f5d4beaacb974ee4f7883ea,376,both,high,0.9999589,-0.1104163365153748
d80428d325d94fc3916fc11344a8f0d1,376,both,high,0.9999589,-0.1525775583537054
8edd9afc326b4a13a398c70e6be3d1e1,353,both,high,0.9999579,-0.1644698824825898
ad22cf81c28a4cfa8d0938b1efc6cdb0,666,both,high,0.99995756,-0.0277536593130947
7bd4556c392f42a9a5da47ffeeabd8fc,353,both,high,0.9999571,-0.1236185517793797
a4ee64ebf13541c1a248575537d222c2,306,both,high,0.9999566,-0.0483619490283018
cd86fa81d81f4485bda184aca711c4fc,353,both,high,0.9999553,-0.124424524689707
f25fb3936461478aad1e4759f4e68d61,376,both,high,0.9999542,-0.1319247464016997
960b878e75744bf69cf9f14dc9166672,353,both,high,0.9999536,-0.1248422018429188
9f8eff10870c40a099afd92ef0f54803,306,both,high,0.99995315,-0.0958550137033044
154480e1005c4bc49e514f27f8c09e61,353,both,high,0.99995255,-0.0085014309903972
7ba77e9817614ab085c93677d31ca9ba,89,both,high,0.99995255,-0.0967536235777464
ec6bd50c18634a22aaf4045e520319b0,89,both,high,0.99995184,-0.0726620017811678
f533c8ff57054de291259b8c1c39840e,376,both,high,0.999949,-0.1205342622578236
9a3ccc82b1024cae999085e0084421a7,89,both,high,0.99994886,-0.1499229160110083
0791261734344e03ac8b1580a5816ad1,353,both,high,0.9999485,-0.1390096600561993
5082b410e9f747db9a308325f4d1582d,353,both,high,0.9999474,-0.1375463508700523
deb429f5b41b47d2805b634f9a127284,615,both,high,0.99994695,-0.0683950677216306
9584bc946d634bda882c66c2cf527bf5,89,both,high,0.99994683,-0.105105454867058
0e935e7ce588444a82b05ae2185db248,666,both,high,0.999946,-0.0334214987030656
d246dd70c3974c88a0fe8c554a87d934,376,both,high,0.99994576,-0.1224451058062157
634e295744ba4401a9fcfe7c74f344fe,376,both,high,0.99994564,-0.044348401794436
700861200a6e4c5cbbaa9f2f25912613,376,both,high,0.9999454,-0.1518840755884309
8e3fe77059be47c18239770571b76500,376,both,high,0.9999422,-0.0108796335195964
e0b8ded6a57b49d2a1ac42692bf25410,376,both,high,0.99994016,-0.1414843663959908
692e3b9974da48eba5dbe4f08d5d0cb6,353,both,high,0.999938,-0.1381213322483406
c232de673f7d491cb317a531bb839763,353,both,high,0.9999379,-0.1146095856042307
aab1ecd7618841c78e2d82be1198b782,376,both,high,0.99993753,-0.0604756288307624
7b55c89677a246d38052c0ad2db3096d,89,both,high,0.9999372,-0.1131144482540588
