wallet_id,address,home_ip,asn,country,typical_amount_btc,script_type
0,bc1q7de7e25c5c504fe2bcbc2ffc087f2d,59.181.165.223,AS9829,IN,0.08181572,P2WPKH
1,1d9d3d4abd33f441f9f3e8bd8e577bb,184.197.177.72,AS16509,US,0.04335799,P2PKH
2,30414825449e542a4ab2f1893d352c6,217.233.104.98,AS3320,DE,0.09514897,P2SH
3,3a4cda6dc7fb34e49b6fd083d41ac25,146.70.136.207,AS9009,RO,0.22832844,P2WPKH
4,bc1qc6a76558eef04a1a83a139d6062c30,93.219.62.97,AS3320,DE,0.03939354,P2WPKH
5,bc1q331adb68fbdc4552b8e770073b07e6,88.218.103.221,AS9009,RO,0.03939419,P2WPKH
6,bc1qaacd2a6c79734a39baef1de495fa70,149.51.0.170,AS3320,DE,0.24152382,P2WPKH
7,1c457dd5221a04fb19a4c40a95ce928,203.162.72.26,AS45899,VN,0.10725294,P2PKH
8,bc1q5e5b18b9713a4db9ae327aba68202c,106.192.162.95,AS24560,IN,0.03113339,P2PKH
9,3dcf68dfd9c4a477e83ba3f33ac0bc5,46.203.40.19,AS60068,NL,0.08565395,P2WPKH
10,bc1qa84f970990ab4312b3a185ad378b82,113.189.41.119,AS45899,VN,0.03132253,P2PKH
11,bc1qbf5115680cdd49e1845a11352b1df6,144.217.217.176,AS16276,FR,0.03125019,P2WSH
12,12decf121122c4b75b2445ace5f844e,203.162.72.9,AS45899,VN,0.06341609,P2SH
13,1d21238b9e4984f93bbc4a30c29c5b0,222.253.22.242,AS45899,VN,0.00734834,P2WSH
14,35f2eb80c9e324337ac77c30e55f50e,14.188.116.128,AS45899,VN,0.00887144,P2WSH
15,bc1q358c8598609f429a8a9afac358021f,139.59.46.68,AS14061,US,0.02837384,P2PKH
16,bc1q6e020affb14a44419ba4f63712d5b5,146.103.10.192,AS16276,FR,0.01808213,P2SH
17,bc1qd54d7b4b10114a938e905e3bd21b9b,184.197.177.57,AS16509,US,0.06816987,P2WPKH
18,17686b712ffaa41fa96ac8d2db2b224,96.219.14.29,AS7922,US,0.02008014,P2WPKH
19,bc1qed91a9615b4544a3b8b1839153e9b6,54.192.76.17,AS16509,US,0.01212721,P2SH
20,353a5710e4a2644b5a6d5b38fd54a0c,146.103.10.249,AS16276,FR,0.21559552,P2WSH
21,1683a8995991d464f83f2dfc3a12243,79.127.139.30,AS60068,NL,0.03972493,P2WSH
22,384515d7d8a0b451783e53bf51bcbf4,181.41.198.29,AS60068,NL,0.05326521,P2SH
23,3be4c7a154c0f494faf8e7e3f3efa29,76.23.235.225,AS7922,US,0.01197723,P2PKH
24,bc1q81fba36bc28046869a243a50ac691d,207.71.75.234,AS4713,JP,0.02888645,P2WSH
25,32feb6514fe87475e80544b4ca480e5,37.19.202.156,AS60068,NL,0.25489773,P2PKH
26,1da467471803e447f82485e888a07e9,54.37.148.237,AS16276,FR,0.01574876,P2TR
27,bc1q65e06ed24b794c66a86e47db7b8557,125.16.151.5,AS24560,IN,0.35023099,P2TR
28,3f0fea4e6b8e74784a3aa319e8a6bb5,113.168.136.62,AS45899,VN,0.02730628,P2TR
29,1d12b2dc5c3b04401afed16967a94c4,207.154.233.18,AS14061,US,0.0371908,P2WPKH
30,1f153aa75a3ce4a24be03ad4ed60d4a,195.172.98.243,AS60068,NL,0.10838691,P2PKH
31,bc1q8410ef02365f4971bf183be3167bdb,16.166.247.238,AS16509,US,0.31735895,P2WPKH
32,bc1q2adbfad82e0d4d4e82a65d9a8d8387,14.236.0.80,AS45899,VN,0.2195453,P2TR
33,bc1q519acc1b4807447d8a24a437ca83f8,125.16.151.231,AS24560,IN,0.01728855,P2SH
34,1f82ad00e532040e6b25bc801bcdd9b,113.188.126.87,AS45899,VN,0.11332958,P2WPKH
35,103da2f79bc9f4e888195ce9224782e,109.174.140.2,AS9009,RO,0.01468625,P2WPKH
36,1bd1ddf33693f4d3bbb899742413ec5,113.188.126.232,AS45899,VN,0.06135145,P2WSH
37,13fdeec0e20f9457eaa9c47de1f4860,144.217.217.72,AS16276,FR,0.00701524,P2SH
38,bc1q182b82ffdc45441ba28c2760327749,221.190.77.240,AS4713,JP,0.01319145,P2WPKH
39,16b823166d65343b3a0d7ed1bec0872,167.99.50.105,AS14061,US,0.06061949,P2PKH
40,bc1q50accb0859174dcc9330c087bc5304,184.197.177.109,AS16509,US,0.10419059,P2SH
41,bc1qb220d8c1169d4854a3a5dccdf50666,76.128.51.168,AS7922,US,0.05909366,P2PKH
42,38efb401891474d439cdff8aa41553e,182.72.123.221,AS24560,IN,0.04434975,P2PKH
43,1b394ebaa44874823b7edf193ef5a30,162.19.105.36,AS16276,FR,0.03684248,P2PKH
44,323c7d3bdc8e641af9d50d311d94d1d,203.162.72.237,AS45899,VN,0.01135018,P2SH
45,bc1q12a9f1c9e3084c4092d2dc8acf7e13,149.51.0.167,AS3320,DE,0.02423774,P2WSH
46,147a0768a3b23435abde7c912db9405,113.189.41.105,AS45899,VN,0.03140969,P2SH
47,30bc63575897a4b65af11b0beacae94,184.113.211.98,AS7922,US,0.143291,P2TR
48,3591901609d7549e191e67b8dacf7d3,143.244.179.109,AS14061,US,0.07020177,P2TR
49,bc1q6770f6a6832a458dbead1de1dcfc3f,79.127.139.125,AS60068,NL,0.00853961,P2PKH
50,1f893f30f43294a51b28ce5930fe987,73.24.188.189,AS7922,US,0.06884374,P2PKH
51,312a68c78fa894fc88d3f6abf169511,162.151.237.150,AS7922,US,0.03387485,P2WPKH
52,bc1qaf85d99c92ea4edc89f496e5e28ef6,1.33.12.246,AS4713,JP,0.02530073,P2PKH
53,1f56508f5ba0c499ca29bc81d26a0d7,87.163.243.18,AS3320,DE,0.09178341,P2WSH
54,30412c623aa5a4ea7b2753067d3926f,93.219.62.146,AS3320,DE,0.13959632,P2WPKH
55,184d4486bfd224557a44aa791c8ef97,104.253.186.108,AS9009,RO,0.12634742,P2WPKH
56,bc1qbacf99b04ef64d50a67177f206121b,223.233.173.67,AS24560,IN,0.02151043,P2WPKH
57,3952d4b75781044b79f30e9f441efc9,123.31.94.102,AS45899,VN,0.03654495,P2WPKH
58,315308c7f1af14eb799db043125f46d,157.230.6.238,AS14061,US,0.06933978,P2PKH
59,bc1q3deefc604d2547e3887294d0cf166f,104.253.186.19,AS9009,RO,0.13206582,P2PKH
60,38513edc56b704681b650cc3bc2962c,61.126.14.90,AS4713,JP,0.03083286,P2WSH
61,31ed856b4b77e4f4794767f712e0e0f,120.58.9.113,AS9829,IN,0.04135099,P2WPKH
62,bc1qee0755f222334eb59436ffbba4c15c,37.19.202.3,AS60068,NL,0.01646802,P2WSH
63,31d9994c06453437ba2c3251445f7ed,138.199.49.241,AS60068,NL,0.01505257,P2PKH
64,14c9db7a246db4020b569bb139f199a,142.44.172.70,AS16276,FR,0.11219979,P2WPKH
65,bc1q911e88c2863a43dfaf77ee8e6170b3,106.213.196.176,AS24560,IN,0.19325205,P2WSH
66,bc1qbf116bcf7c154dc0a67f3191d90bc5,143.244.179.232,AS14061,US,0.04632794,P2PKH
67,395abef73bf0c4f009869579d6d394d,120.57.154.1,AS9829,IN,0.13581425,P2WPKH
68,bc1q77cddabd470246b09ca685ad3fa7ed,120.58.9.190,AS9829,IN,0.07147811,P2WPKH
69,3a3c4f50b51364157a7c503237d01dd,135.148.182.29,AS16276,FR,0.02611828,P2TR
70,bc1qb595f3e90aae410f9b1947c7a308d5,207.71.75.10,AS4713,JP,0.07146093,P2WPKH
71,12c3d4c2cf5f0481c8e9f62de99dc7c,146.77.51.11,AS16509,US,0.23178074,P2SH
72,1997c4ada166b49c0809a7947a5a8da,106.213.196.175,AS24560,IN,0.04803497,P2WPKH
73,36a6026c91e004009ab1f1ce2159cf7,57.128.63.224,AS16276,FR,0.23803053,P2TR
74,bc1qff7a17e2c88d4d20b1b43884a4e5e2,61.126.14.239,AS4713,JP,0.00362557,P2WSH
75,13bc7e111ef694f01a77b78fb8533be,129.47.33.46,AS16509,US,0.1132568,P2TR
76,3ebf08213fba349438b96780ce22e2a,91.220.202.189,AS60068,NL,0.0543151,P2PKH
77,bc1q848f6ddb002146ee8c37dd6c665810,62.154.247.224,AS3320,DE,0.0369198,P2WSH
78,13985949a4a534ce69ef219898071bc,203.162.72.236,AS45899,VN,0.05457173,P2PKH
79,1175ac56a8d6f4066b6d250350d9fc5,113.168.136.169,AS45899,VN,0.00682223,P2SH
80,34db80fb279c043cfa5cb705200439a,87.187.32.72,AS3320,DE,0.03996817,P2WPKH
81,3d5e3bd8627cf43128eaefae73cceb9,91.220.202.138,AS60068,NL,0.07115552,P2TR
82,19a3ee2149c0246acb597dfd0bebe22,120.58.9.149,AS9829,IN,0.21825177,P2PKH
83,bc1qd8a6e5a7f7c54764a6ac1242b0f2d9,184.197.177.187,AS16509,US,0.02965068,P2SH
84,bc1qc0b6f11da9624f6a9cb139df9fa62a,62.154.247.231,AS3320,DE,0.02218157,P2PKH
85,1613e150c0ca04c48aa9ae6670a7355,129.47.33.134,AS16509,US,0.03014437,P2WPKH
86,bc1q61d9621cfa534e26b217308431a60b,149.34.253.94,AS60068,NL,0.12435712,P2PKH
87,bc1qf11e53121fca49b3b6d0a9a5f3080a,136.185.75.81,AS24560,IN,0.06916579,P2WSH
88,bc1qae46a82a25d7401c939a99586290f5,203.94.202.80,AS9829,IN,0.02931194,P2SH
89,3cdd01a64f5144b01a15e5975293c6f,203.94.202.33,AS9829,IN,0.41309442,P2SH
90,35d69d1f4f4cc4a0ab5ee15af59079e,79.127.139.232,AS60068,NL,0.05486265,P2WPKH
91,33eb402db0ac640d3bbb6993e3ee5b8,51.172.104.214,AS16509,US,0.13115768,P2PKH
92,1c6dc59bb482c4fb68543c0e5b05e37,64.95.125.149,AS16509,US,0.02467282,P2WPKH
93,35375c1d053b048c4b024c3cdfbf603,159.223.155.173,AS14061,US,0.03587688,P2WPKH
94,bc1q465f5124724b4f7da38d9a25b7602b,219.164.160.22,AS4713,JP,0.03363769,P2WPKH
