timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn
2026-06-01T00:04:32.725175Z,139.59.205.135,46.203.40.98,35747,8333.0,83c1ba0f9d9f499d90245ec8305412de,"[""10261933f1cf8422bac6deb69d34081""]","[""bc1q1c367e2d21274ad981235991cba8e5""]",[0.01029868],[0.01027921],1.947e-05,P2PKH,US,AS14061
2026-06-01T00:06:08.229168Z,189.104.125.129,217.88.163.52,23481,8333.0,b9954664d3d045e3a3d0626f96c0f286,"[""33b5319416326478491a20966e19449""]","[""bc1q9bcf08d6955144d7a4810fe9a2dd00"", ""1c1bbe6b43cb84c38bddf46a80634bd""]",[0.06299752],"[0.03147205, 0.03147205]",5.342e-05,P2TR,RO,AS9009
2026-06-01T00:11:12.263897Z,73.24.188.122,162.19.105.37,21758,8333.0,f1dc27aecda34ad59a2d3d66d2af6760,"[""bc1q19db2319de4e46c8be8cea70ae1517""]","[""36b370c4929364c61b95064c408021e""]",[0.05875856],[0.05853556],0.000223,P2TR,US,AS7922
2026-06-01T00:29:54.413977Z,106.192.162.228,157.230.6.162,12612,8333.0,3faac1cfd0f1425ca56cb5a5051499a1,"[""18c9e9946ab2a439c8e287d0b81085e""]","[""321332f00981c45ecbd0dfca2c1b3ea"", ""334995f69f63c461da3348ca50bf07d""]",[0.038761],"[0.01931298, 0.01931298]",0.00013505,P2PKH,IN,AS24560
2026-06-01T00:56:01.794371Z,54.37.148.139,14.177.80.71,14746,8333.0,cc7217c462af4aef86fb10ebaaf29576,"[""19ef1c4f569794645a34e3f64445307""]","[""bc1qd31fc921b7ab4dc8ab05038d44d1bb""]",[0.06464213],[0.06458668],5.545e-05,P2WSH,FR,AS16276
2026-06-01T01:15:08.222588Z,73.110.151.234,14.245.85.196,52125,8333.0,b5ef9082db3c4630bae3f7982ee27950,"[""bc1qf1cac739df18425bbe55fd6f11e8c3"", ""195fb82f516e54851a5c2eb9fe1e411"", ""3eb9f19cf136a4d04803c0f1c66dfde""]","[""bc1q86700a4389f04f90a1c3efc2fc06a7""]","[0.0312338, 0.0312338, 0.0312338]",[0.09358925],0.00011215,P2WPKH,US,AS7922
2026-06-01T01:32:37.640775Z,79.127.139.232,154.76.141.110,27460,8333.0,7263e41eff844023a657c69c0b019eba,"[""33249fa0ac6ca4f1eb81a5ac646222f""]","[""bc1qf81c63f4dc84430cbc70127a421d07""]",[0.06747869],[0.06728983],0.00018886,P2WPKH,NL,AS60068
2026-06-01T02:22:25.726642Z,154.77.65.121,135.148.182.137,14092,8333.0,6e1a5b34483d4657bc9b46e0f1f1603a,"[""39ba75027daa64154a9e6477e1c42ac""]","[""1b00b5d08bc1f4125bdc9922b719e67""]",[0.0507924],[0.05068886],0.00010354,P2WPKH,IN,AS24560
2026-06-01T02:28:52.616737Z,15.204.120.248,57.128.63.83,50624,8333.0,443ba5803b22489db005067683f2dfc2,"[""37e48e9fc1f734b08aa1dd60ec4d8e9""]","[""bc1q9bebe02ac8514b0f80d49e321470df""]",[0.02498257],[0.02487701],0.00010556,P2WPKH,FR,AS16276
2026-06-01T02:32:56.415294Z,149.51.0.23,113.168.136.161,49101,8333.0,4ee3f42268cf4efc8a11b4f6bb982c27,"[""3525411876d8c4faa9de74d67533b49""]","[""310d0514ec6854d2ab4b656174b5de3""]",[0.16812089],[0.16801629],0.0001046,P2WPKH,DE,AS3320
2026-06-01T02:33:30.378736Z,104.250.192.16,106.48.244.27,26160,8333.0,13c6e80e7693434d97ee5750f3d5baa5,"[""397567970eb9247a5a3d1f11edb06bf""]","[""33acedf949d1b4379878b60bf161491"", ""3aa94b52a11044164941c1f538f164a"", ""3d3268f13566346a08e2714d20f797e""]",[0.0056286],"[0.00186737, 0.00186737, 0.00186737]",2.648e-05,P2WSH,NL,AS60068
2026-06-01T02:47:14.978243Z,157.230.6.16,203.162.72.12,20566,8333.0,5a6284aaa9d849e6a4e5c45e46095d88,"[""bc1q12d616833c0b43d48411c70af2ab2d""]","[""109ef1b66287541c5bf33fc6860c0e4"", ""18aa950eb17eb492781592489550d1c""]",[0.07398236],"[0.03692805, 0.03692805]",0.00012626,P2WPKH,US,AS14061
2026-06-01T03:05:44.221046Z,189.104.125.175,162.243.58.135,23164,8333.0,5ee80e42a9ef43489fa664733f74a0f4,"[""bc1qe1dad031818544fbb6d9f46b91b3e5""]","[""bc1qde2e866c2b324c50bbeba0af2c4d69""]",[0.10678871],[0.10645328],0.00033543,P2WPKH,RO,AS9009
