txid,canonical_wallet_id,detector,priority_tier,xgb_proba,if_score
b7dd72244ab9491da4112ecf65312429,610,both,high,0.9999857,-0.0189006390988327
d61dbd3ab538400493cf24ccd9b9da4c,610,both,high,0.99998546,-0.0467827773435732
f816875a335e47d2a118bc51489c2b1c,312,both,high,0.99998057,-0.0172637197108236
f0ddb45b03de47acbf70a1718f5c29cd,312,both,high,0.99997747,-0.0143657897240947
ef82cd2d50f54114ab5a2d7fb95a86ef,312,both,high,0.9999733,-0.0389257114742297
f2a3f09bba044e2db093ae6cccf41d42,594,both,high,0.99996936,-0.1027126597981328
483b6dc0975b4871bd4ea74227676a90,525,both,high,0.9999664,-0.0191512286370555
d05db06c462c4a6ab23e19f870c229ad,610,both,high,0.9999652,-0.03076922422581
57b0e82af6b34ca399d82321085a9af0,674,both,high,0.9999596,-0.101108996464689
8f3a5f38711843f1adef44341361c6a3,674,both,high,0.9999596,-0.1124253280168853
6950687bea814dedb12d4a61450cec93,610,both,high,0.9999515,-0.0333084306543707
273d519aa28745339ce1dcf94c8dc6e8,525,both,high,0.999951,-0.0754242106784411
bb1105cc8185410aa4a490688f273841,610,both,high,0.999951,-0.0478546924907635
4ae623aee5854e2a91cc3cd5e6f08bff,674,both,high,0.99995077,-0.0943540143644868
16363298a42640b7a5f33d566adf2334,639,both,high,0.9999471,-0.1495786382102463
3d2464ad591e4355a53c127f6a491893,200,both,high,0.99994516,-0.0009023753478065
39971dd40a714858ad440baad4cec854,674,both,high,0.99994385,-0.0731912793950453
422f05d6e8e540fba4b33eb02da8f474,674,both,high,0.9999404,-0.0613198680151528
727e1634ddf84e38bffcb9608aa2bf9f,312,both,high,0.99994016,-0.0388528231265954
7817256ae04b46a686ea2e15625e4b20,200,both,high,0.9999385,-0.0524463662342141
9537bc9ccf8c4f5ebacdfcb67fcb3ed8,674,both,high,0.99993813,-0.1837844548364593
6c8989a4b98f42b1ab1fdd03a1d87e99,674,both,high,0.99993813,-0.1903585941035712
1f98722f1d394d6486abefe9aad0abfb,674,both,high,0.9999379,-0.164536050366467
15362608b3a24fc1bf42f39aff96ec05,533,both,high,0.9999379,-0.0933353738783441
f908951da2ae4dee8a832fe8d39f0848,594,both,high,0.9999341,-0.0849451307128041
7af2c90461ac48a9b345b371cb0e2fb4,525,both,high,0.99993396,-0.1453455950493672
0ea8afbe3f7341d893888ce1cfb5d479,639,both,high,0.9999299,-0.1212302305006297
18bba0e3ec7d42e7aef2c072d08fdc1c,525,both,high,0.9999285,-0.0902813938160074
2e68022141804800bff93f3e65d9c41e,200,both,high,0.99992836,-0.0199230354439746
a685366c397348aeac5edb5175333e72,674,both,high,0.9999281,-0.1699219788561231
5bd820cb3bfc4e839b131ce50d83e8bf,674,both,high,0.9999281,-0.1931388308968568
a766a162eb5b4fa98e9f565318af9124,639,both,high,0.9999218,-0.1635951826009832
0d869d7dd18c4f94b893c15b8931858f,639,both,high,0.99992037,-0.0659587554987498
4b5544b23dd74724915e22e1ed67aed0,610,both,high,0.99991786,-0.036787517249507
234aebd46e78441992aff7e678600569,674,both,high,0.99991715,-0.0147408209725887
23e35e0b6afe47a8ae9b11b901c7fa8e,200,both,high,0.99991655,-0.0003437673179585
4dcb775f76e64794a73ace38327f7248,674,both,high,0.99991596,-0.203397834325443
ea9e3caca8f24150b932eadbdc010f4a,674,both,high,0.99991524,-0.141581116899442
