txid,canonical_wallet_id,detector,priority_tier,xgb_proba,if_score,top_reasons,top_feature_1,shap_1,top_feature_2,shap_2,top_feature_3,shap_3
b7dd72244ab9491da4112ecf65312429,610,both,high,0.9999857,-0.0189006390988327,"burst of tx in the last hour (sender_tx_count_1h=20, impact=+6.799); high tx volume in 24h (sender_tx_count_24h=20, impact=+3.660); amount far from sender's usual pattern (sender_amount_zscore=-0.386, impact=+1.358)",sender_tx_count_1h,6.7989,sender_tx_count_24h,3.6596,sender_amount_zscore,1.3584
d61dbd3ab538400493cf24ccd9b9da4c,610,both,high,0.99998546,-0.0467827773435732,"burst of tx in the last hour (sender_tx_count_1h=29, impact=+7.756); high tx volume in 24h (sender_tx_count_24h=29, impact=+3.816); amount far from sender's usual pattern (sender_amount_zscore=-0.4219, impact=+1.388)",sender_tx_count_1h,7.7562,sender_tx_count_24h,3.8159,sender_amount_zscore,1.3877
f816875a335e47d2a118bc51489c2b1c,312,both,high,0.99998057,-0.0172637197108236,"burst of tx in the last hour (sender_tx_count_1h=12, impact=+8.173); high tx volume in 24h (sender_tx_count_24h=12, impact=+4.604); unusually few inputs (n_inputs=2, impact=-0.847)",sender_tx_count_1h,8.1726,sender_tx_count_24h,4.6038,n_inputs,-0.8469
f0ddb45b03de47acbf70a1718f5c29cd,312,both,high,0.99997747,-0.0143657897240947,"burst of tx in the last hour (sender_tx_count_1h=22, impact=+7.748); high tx volume in 24h (sender_tx_count_24h=22, impact=+4.151); unusually few outputs (n_outputs=2, impact=-0.762)",sender_tx_count_1h,7.7475,sender_tx_count_24h,4.1509,n_outputs,-0.7618
ef82cd2d50f54114ab5a2d7fb95a86ef,312,both,high,0.9999733,-0.0389257114742297,"burst of tx in the last hour (sender_tx_count_1h=29, impact=+8.331); high tx volume in 24h (sender_tx_count_24h=29, impact=+4.285); small total BTC moved (total_input_btc=0.04802, impact=-0.742)",sender_tx_count_1h,8.3306,sender_tx_count_24h,4.2854,total_input_btc,-0.7419
f2a3f09bba044e2db093ae6cccf41d42,594,both,high,0.99996936,-0.1027126597981328,"burst of tx in the last hour (sender_tx_count_1h=5, impact=+6.764); high tx volume in 24h (sender_tx_count_24h=10, impact=+3.618); amount close to sender's usual pattern (sender_amount_zscore=0.8953, impact=-0.712)",sender_tx_count_1h,6.7641,sender_tx_count_24h,3.6176,sender_amount_zscore,-0.712
483b6dc0975b4871bd4ea74227676a90,525,both,high,0.9999664,-0.0191512286370555,"burst of tx in the last hour (sender_tx_count_1h=22, impact=+8.216); high tx volume in 24h (sender_tx_count_24h=22, impact=+4.372); rapid repeat transacting (sender_time_since_last_tx_min=0.3833, impact=+0.723)",sender_tx_count_1h,8.2158,sender_tx_count_24h,4.3724,sender_time_since_last_tx_min,0.7229
d05db06c462c4a6ab23e19f870c229ad,610,both,high,0.9999652,-0.03076922422581,"burst of tx in the last hour (sender_tx_count_1h=25, impact=+7.126); high tx volume in 24h (sender_tx_count_24h=25, impact=+3.646); long dormancy before reuse (minutes_since_addr_last_output=1.064e+04, impact=-0.638)",sender_tx_count_1h,7.1256,sender_tx_count_24h,3.6464,minutes_since_addr_last_output,-0.6379
57b0e82af6b34ca399d82321085a9af0,674,both,high,0.9999596,-0.101108996464689,"burst of tx in the last hour (sender_tx_count_1h=7, impact=+6.405); high tx volume in 24h (sender_tx_count_24h=7, impact=+2.282); input addr reused right after receiving (input_addr_is_recent_output=1, impact=+1.332)",sender_tx_count_1h,6.4046,sender_tx_count_24h,2.2823,input_addr_is_recent_output,1.3317
8f3a5f38711843f1adef44341361c6a3,674,both,high,0.9999596,-0.1124253280168853,"burst of tx in the last hour (sender_tx_count_1h=8, impact=+6.405); high tx volume in 24h (sender_tx_count_24h=8, impact=+2.282); input addr reused right after receiving (input_addr_is_recent_output=1, impact=+1.332)",sender_tx_count_1h,6.4046,sender_tx_count_24h,2.2823,input_addr_is_recent_output,1.3317
