timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn
2026-06-01T00:04:36.725175Z,154.241.4.143,206.213.229.55,33462,8333,ec2f5d0ce48a4ce5a21fd688aec55595,"[""1d25f60339a144158b99d57122a1fc0""]","[""1065aaf279fa94b4d9701877f852c31""]",[0.20163206],[0.20116455],0.00046751,P2PKH,US,AS16509
2026-06-01T00:06:09.229168Z,199.216.139.45,161.67.169.175,56067,8333,7bb1db6577e047468ce5f6e443322f8b,"[""bc1qcbfcb4fe499742c6baf5f447f38528""]","[""18a29d2ff37bd48058ddd7359bb055e"", ""bc1q6a4eb4247d814129b69c525b1e0979""]",[0.18219274],"[0.09088904, 0.09088904]",0.00041466,P2SH,JP,AS4713
2026-06-01T00:11:08.263897Z,30.185.29.33,175.214.3.129,38077,8333,d6dbb48c26814869811368f4b2c9f66a,"[""bc1qe74331605a254287844d7469f6aea2""]","[""3d7d8d6134e3b48abb94974272dde57""]",[0.03231918],[0.0322741],4.508e-05,P2PKH,IN,AS24560
2026-06-01T00:29:54.413977Z,207.49.248.228,215.58.56.255,19036,8333,8ad13e69633943c99fdbb7eb88947d29,"[""bc1q75f1e89385dd42e19dbc74544923b6""]","[""3640d577d3cc14d75aaa345dcac90eb"", ""1ab13fca5b8404b4689a511df210885""]",[0.16425828],"[0.08201969, 0.08201969]",0.00021891,P2PKH,US,AS16509
2026-06-01T00:55:57.794371Z,172.106.87.94,178.148.105.239,52190,8333,0f7664ca548b445b95d435b4e8b2172d,"[""bc1q0109c6948ca846ada7d3fffdbfb6f3""]","[""bc1q282d20fc5a654aeca3b9601fa6a3e2""]",[0.02826159],[0.02820891],5.268e-05,P2SH,RO,AS9009
2026-06-01T01:15:12.222588Z,222.18.137.123,198.68.14.60,34500,8333,99eaa4344c4d4d108713533282cb3fb2,"[""bc1qb70dac9363204e41a4dcaf2bf20c64"", ""31edd809f30924239af903792c9fc57"", ""bc1qcb5d1825e8074a4fa75fe510446818""]","[""19c326b3775a04bf78ec42c022fe5e5""]","[0.00987817, 0.00987817, 0.00987817]",[0.02953269],0.00010183,P2SH,FR,AS16276
2026-06-01T01:32:41.640775Z,170.40.218.51,118.8.226.245,51821,8333,b8e5375d586f466f8b0d9ee765457eeb,"[""39e0ae876180b45088099df4406e121""]","[""bc1qb27f700f3f8b4824bf61654d4e70d8""]",[0.08278788],[0.08270339],8.449e-05,P2WPKH,US,AS7922
2026-06-01T02:22:22.726642Z,181.198.76.172,208.77.106.112,50620,8333,d997a3653c2c44958a4c0b88ef2ac487,"[""bc1q9340e91b1e474ed9acf08a08b1985d""]","[""bc1q70609dbc60d94a7aa39ea845d439b2""]",[0.03297297],[0.03288393],8.904e-05,P2PKH,NL,AS60068
2026-06-01T02:28:56.616737Z,194.108.246.245,223.254.215.4,36829,8333,f6032165ffc0483595a535e1ea86575d,"[""3317a6838ebee4577aa314326d81e48""]","[""17be93d0c9fbc4aedb9431bb7f5e8fb""]",[0.04101952],[0.04088579],0.00013373,P2PKH,IN,AS9829
2026-06-01T02:33:00.415294Z,90.2.235.24,186.153.196.215,55423,8333,5fc228ec04e9489f8dc34645a991c551,"[""34599939e0edf447d9fd68e3e22f152""]","[""bc1q516e14ed9ecf4beab8a2c1b2ac12b8""]",[0.00792799],[0.00791118],1.681e-05,P2WPKH,US,AS14061
