txid,geo_country_resolved,asn_resolved,n_inputs,n_outputs,n_unique_input_addresses,n_unique_output_addresses,total_input_btc,total_output_btc,input_output_ratio,fan_in_5plus,output_min_max_ratio,fee,fee_ratio,input_addr_is_recent_output,minutes_since_addr_last_output,first_input_addr,sender_tx_count_1h,sender_tx_count_24h,sender_time_since_last_tx_min,sender_distinct_asn_last10,sender_distinct_ip_last10,sender_amount_zscore,is_anomaly,anomaly_type,wallet_ids,canonical_wallet_id
ec2f5d0ce48a4ce5a21fd688aec55595,DZ,Telecom Algeria,1,1,1,1,0.20163206,0.20116455,1.0023240178252082,0,1.0,0.00046751,0.0023186292894096304,0,-1.0,1d25f60339a144158b99d57122a1fc0,0,0,-1.0,0,0,0.0,0,normal,,393
7bb1db6577e047468ce5f6e443322f8b,CA,GOANET,1,2,1,2,0.18219274,0.18177808,1.0022811331267223,0,1.0,0.00041466,0.0022759414013972237,0,-1.0,bc1qcbfcb4fe499742c6baf5f447f38528,0,0,-1.0,0,0,0.0,0,normal,,418
d6dbb48c26814869811368f4b2c9f66a,US,DNIC-AS-00749,1,1,1,1,0.03231918,0.0322741,1.0013967856578496,0,1.0,4.508e-05,0.001394837369017407,0,-1.0,bc1qe74331605a254287844d7469f6aea2,0,0,-1.0,0,0,0.0,0,normal,,454
8ad13e69633943c99fdbb7eb88947d29,US,UNRESOLVED,1,2,1,2,0.16425828,0.16403938,1.001334435670264,0,1.0,0.00021891,0.0013327182045252148,0,-1.0,bc1q75f1e89385dd42e19dbc74544923b6,0,0,-1.0,0,0,0.0,0,normal,,31
99eaa4344c4d4d108713533282cb3fb2,CN,China Education and Research Network Center,3,1,3,1,0.029634510000000003,0.02953269,1.0034477048992152,0,1.0,0.00010183,0.0034361965154814434,0,-1.0,bc1qb70dac9363204e41a4dcaf2bf20c64,0,0,-1.0,0,0,0.0,0,normal,,468
b8e5375d586f466f8b0d9ee765457eeb,US,UNRESOLVED,1,1,1,1,0.08278788,0.08270339,1.0010216026211258,0,1.0,8.449e-05,0.0010205600143402634,0,-1.0,39e0ae876180b45088099df4406e121,0,0,-1.0,0,0,0.0,0,normal,,115
d997a3653c2c44958a4c0b88ef2ac487,EC,Telconet S.A,1,1,1,1,0.03297297,0.03288393,1.0027077055570912,0,1.0,8.904e-05,0.00270039368610107,0,-1.0,bc1q9340e91b1e474ed9acf08a08b1985d,0,0,-1.0,0,0,0.0,0,normal,,556
5fc228ec04e9489f8dc34645a991c551,FR,Orange,1,1,1,1,0.00792799,0.00791118,1.0021248410477324,0,1.0,1.681e-05,0.0021203356714627544,0,-1.0,34599939e0edf447d9fd68e3e22f152,0,0,-1.0,0,0,0.0,0,normal,,223
0712930bdbca467aacaf91de63cfe1ad,BR,TELEFONICA BRASIL S.A,1,2,1,2,0.03412132,0.03404182,1.0023353627978762,0,1.0,7.95e-05,0.0023299215856830862,0,-1.0,bc1qf8caf7cc7ee941c599bcdd45002aa7,0,0,-1.0,0,0,0.0,0,normal,,356
4b9ae982f88448bc9233d696a78c5899,CZ,CESNET z.s.p.o.,3,1,3,1,0.0761172,0.07583975,1.0036583717641474,0,1.0,0.00027745,0.0036450368642041483,0,-1.0,1f487a296b1f844cba6f6fb40dbc7b6,0,0,-1.0,0,0,0.0,0,normal,,705
5e545444cefc474085900949aa702255,FR,Societe Francaise Du Radiotelephone - SFR SA,1,2,1,2,0.01423398,0.01420994,1.0016917735050253,0,1.0,2.405e-05,0.0016896187854696999,0,-1.0,bc1q42d8e74ab286428d9f587c59afd0c7,0,0,-1.0,0,0,0.0,0,normal,,169
d6526b1bfe7b44afbc545b002c4a4eb9,CG,airtelcg,1,1,1,1,0.15784962,0.15744574,1.002565201192487,0,1.0,0.00040388,0.0025586377718235876,0,-1.0,351ca63cd079c407ebf0b22724828b8,0,0,-1.0,0,0,0.0,0,normal,,211
2f75a289715741468e679134082c0288,US,CELLCO,1,1,1,1,0.08129414,0.0810902,1.0025149771489033,0,1.0,0.00020394,0.002508667906444425,0,-1.0,bc1q8081039d05d24df7bd5653b9e7b5ac,0,0,-1.0,0,0,0.0,0,normal,,287
