wallet_id,address,home_ip,asn,country,typical_amount_btc,script_type
0,bc1qfbb2c5cd81c242e1bc9356113d0a59,216.205.10.74,AS3320,DE,0.08181572,P2WPKH
1,16d7a5c5946d0437f9a90d37d8567b7,70.143.71.233,AS45899,VN,0.04335799,P2WPKH
2,bc1qa9884f2ca5884f2a8d9560293dd99b,203.75.32.207,AS16276,FR,0.09514897,P2WPKH
3,19ff1b60f44cc4a3eb0b287187d4e5e,208.244.25.77,AS7922,US,0.22832844,P2PKH
4,bc1qc2359e4b8a8340e8b5b86c42a05dae,65.178.195.236,AS9009,RO,0.03939354,P2WPKH
5,bc1qa511f7fd13f84d7f9658fab216e5a2,221.108.180.212,AS60068,NL,0.03939419,P2WPKH
6,1463f9bae191348e6bae6e25a52e41a,122.57.188.12,AS14061,US,0.24152382,P2PKH
7,1bfa21b9aeec2463285569597cecf05,42.55.219.177,AS4713,JP,0.10725294,P2SH
8,3f427c1d199d44e82a9020e06287202,216.228.82.113,AS4713,JP,0.03113339,P2TR
9,39cc2341e337f43768ccd265883e3f8,85.138.195.222,AS3320,DE,0.08565395,P2SH
10,3241fccd47e434490a46de63e0ed450,70.48.153.229,AS24560,IN,0.03132253,P2PKH
11,1f80e423e19e44a5b8f6d0f14365fd2,164.59.122.58,AS14061,US,0.03125019,P2PKH
12,36a92ed774adf4316809df7dd065519,39.253.38.222,AS3320,DE,0.06341609,P2PKH
13,bc1q754f11427b3c46be8d6e7d06cbfa5f,146.195.110.208,AS9009,RO,0.00734834,P2WPKH
14,bc1qa0f1dce1e4c24a2b8fd24a1b14bc9e,206.228.160.231,AS3320,DE,0.00887144,P2WPKH
15,31038d9160722454bae9cf4da08da69,210.57.203.186,AS3320,DE,0.02837384,P2WSH
16,39df235cd99cb4aa68a8d825b48730f,50.133.85.19,AS9829,IN,0.01808213,P2WPKH
17,31649094dd7ce4467b4bfd3214593ac,19.59.103.90,AS4713,JP,0.06816987,P2SH
18,bc1qef92d11f31844e298efd7010a99584,151.89.105.16,AS9829,IN,0.02008014,P2TR
19,bc1q1115042e93af45669181ac00f9b2c3,101.107.68.129,AS3320,DE,0.01212721,P2WPKH
20,bc1qe77462de57864d989492355da104bd,210.72.237.234,AS45899,VN,0.21559552,P2SH
21,33e208f800f8e48739721347d6dad73,200.250.175.183,AS60068,NL,0.03972493,P2WPKH
22,bc1q99ce9e005b40414d8b366102639605,122.40.218.103,AS24560,IN,0.05326521,P2PKH
23,184e8eb1fa4484bb2884eec6cbe9676,202.112.113.102,AS24560,IN,0.01197723,P2PKH
24,1aefb00f937d94c00871d6c4cf35d0b,209.202.62.97,AS9009,RO,0.02888645,P2PKH
25,bc1q7a90a30bf1284872bec8d85dfd695a,26.24.48.255,AS14061,US,0.05562751,P2WSH
26,bc1qfde19eb3a97b4ce8b6a408a33cf3b4,141.128.190.43,AS14061,US,0.01574876,P2PKH
27,1f3a53462875a41a18b89e8decb04ea,197.66.58.235,AS16276,FR,0.07249034,P2PKH
28,bc1q194dd787b34e4d7f8b13be9cbda5ab,57.82.8.116,AS16509,US,0.02730628,P2SH
29,1bcf3f8b358304df2b956706ad07b54,216.121.229.251,AS4713,JP,0.0371908,P2SH
30,1b207284aad4f46ed8c6d5b1649314f,80.208.194.47,AS3320,DE,0.02727713,P2WPKH
31,bc1q75f1e89385dd42e19dbc74544923b6,207.49.248.228,AS16509,US,0.31735895,P2PKH
32,383e2ccdbb63f469eb55fe1daedcaed,136.218.109.97,AS9009,RO,0.0491196,P2WPKH
33,bc1q6be858e6212a4806826b04bdb63a8e,209.129.250.50,AS7922,US,0.01728855,P2WPKH
34,bc1qfe81951cb0854dbc99c9288728535b,74.61.37.32,AS16276,FR,0.11332958,P2WPKH
35,359b2210990b547fbaa868b4c6a8f8a,210.8.107.66,AS3320,DE,0.01468625,P2SH
36,3661299b4840044048417037d985e92,157.244.135.128,AS7922,US,0.06135145,P2WSH
37,390ffdbeef2b84478b5c5a395d7fefa,208.94.13.114,AS16276,FR,0.00701524,P2WPKH
38,124d30197d97743db81070cae2d8e81,203.196.78.167,AS60068,NL,0.01319145,P2WSH
39,bc1qf643809336fb4d6e897ff54d333cfe,217.100.90.97,AS9009,RO,0.06061949,P2PKH
40,176c1e3b8852c4de7b8ccc54fe433c0,128.53.43.214,AS16276,FR,0.10419059,P2TR
41,bc1q68e01918752d47c795910bdb00f029,197.13.181.219,AS24560,IN,0.05909366,P2PKH
42,3317a6838ebee4577aa314326d81e48,194.108.246.245,AS9829,IN,0.04434975,P2PKH
43,bc1qf3999c4f12c94bec8e69cde4a0be66,214.93.122.209,AS3320,DE,0.03684248,P2WPKH
44,1281c95ff29b3486b9bfc49805c4164,101.82.182.142,AS16276,FR,0.01135018,P2PKH
45,31ed714dbe1b54cccbdfe0de9afabc0,199.0.74.245,AS16276,FR,0.02423774,P2PKH
46,bc1q6a66aacc42394bf9a3b2321bf9a74e,208.159.141.176,AS16509,US,0.03140969,P2TR
47,bc1q82424c1219694baebc47fcb5ba5062,3.58.228.251,AS45899,VN,0.143291,P2PKH
48,bc1q7fab111d1e934930a294dabe12ea72,69.10.91.1,AS60068,NL,0.07020177,P2SH
49,bc1q3166f28375e848fe803477fd138bdc,36.109.250.82,AS14061,US,0.00853961,P2PKH
50,16a5485a855324fdba771f4f9ada780,194.131.121.13,AS24560,IN,0.06884374,P2WPKH
51,161df7c0a0dc04ffc88775b31f8615c,213.72.184.85,AS9009,RO,0.03387485,P2PKH
52,bc1q6c2e3fccfe634f4292d8e54c13e46d,189.138.88.147,AS60068,NL,0.02530073,P2PKH
53,12b9beab18d1546c0929bd0e32bfb42,2.205.250.139,AS24560,IN,0.09178341,P2WPKH
54,3573fb8edef724e7d9456c5f7836c76,219.243.15.142,AS60068,NL,0.13959632,P2PKH
55,1e29caa305078471088fb7638a53952,171.206.82.98,AS9009,RO,0.12634742,P2SH
56,3952fd9ee76ea4126800f332ccb8da6,68.25.0.23,AS16509,US,0.02151043,P2PKH
57,bc1q6d2707cf158a466780acb2954014e4,142.186.51.36,AS16509,US,0.03654495,P2SH
58,35399cd9291df460a91538fa97bb8f0,210.69.147.74,AS7922,US,0.06933978,P2WPKH
59,bc1qa858968aec2e425da68f9a78997f6c,200.234.111.183,AS3320,DE,0.13206582,P2SH
60,37e51e2c54d2b4ce2b6a966b4431068,6.164.183.177,AS3320,DE,0.03083286,P2PKH
61,bc1q375718dc6eac462598db5172304b77,49.210.146.78,AS14061,US,0.04135099,P2SH
62,3cd7c8948c9d74a57a58bc99c7406a8,212.59.230.13,AS14061,US,0.01646802,P2WSH
63,112d27300dfcb483d8653a74443d9c7,197.228.3.223,AS14061,US,0.01505257,P2PKH
64,bc1qa78c53d9f84f4c4aa2fa6d43fb19d4,29.6.162.158,AS16276,FR,0.11219979,P2TR
65,1965e19a9012e4cd08290661844520b,91.150.87.180,AS4713,JP,0.19325205,P2SH
66,1b2c88cb10b5e42c3ae9587c917a86a,157.227.187.108,AS16509,US,0.04632794,P2PKH
67,1f9fca9f17691422a8837c25bb90294,211.38.61.61,AS16509,US,0.13581425,P2TR
68,33fd683336e404eb4b4e159ae4a0663,117.109.200.144,AS9829,IN,0.07147811,P2WPKH
69,bc1qf982272422bb481cb4a039844f8b56,76.44.97.251,AS16276,FR,0.02611828,P2WPKH
70,1ba4a00732ddb402e821c95038f48bd,221.128.13.236,AS45899,VN,0.07146093,P2PKH
71,1b3b9794212a044ecafd5bffde7509d,107.255.53.11,AS9009,RO,0.23178074,P2WPKH
72,bc1qafa6335330af43f783ced84c10bd55,113.145.8.190,AS24560,IN,0.04803497,P2PKH
73,3d287a857d4d447abb1349455c9c2bc,32.241.202.234,AS16276,FR,0.23803053,P2PKH
74,bc1q0b9d76d8ab7e48798f2fa568225f0d,2.242.13.119,AS3320,DE,0.00362557,P2PKH
75,1f007828f41514f34ba91217275acec,119.179.164.227,AS60068,NL,0.1132568,P2SH
76,bc1q17365427570b424daa91632bc3cd9a,17.224.87.90,AS45899,VN,0.0543151,P2WPKH
77,bc1q661017b2ea314491bf19dac671fcd8,100.227.242.174,AS3320,DE,0.0369198,P2WPKH
