timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn
2026-06-01T00:04:36.725175Z,154.241.4.143,206.213.229.55,33462,8333,c6fd1d208e514250a0fcaf5196d22f61,"[""131b4f2788fd8403598f7fc1729367c""]","[""14b0ddfb7ba59462f81f77729907578""]",[0.20163206],[0.20116455],0.00046751,P2PKH,US,AS16509
2026-06-01T00:06:09.229168Z,199.216.139.45,161.67.169.175,56067,8333,ae9de6aec502411e8dc75e3a5fd607bc,"[""bc1qd5e21a96110c44219fecd6a810e126""]","[""199693b05abfb419d8bbb2b29e7e145"", ""bc1qc40e5183ff6d4629bb79fe1f6f1573""]",[0.18219274],"[0.09088904, 0.09088904]",0.00041466,P2SH,JP,AS4713
2026-06-01T00:11:08.263897Z,30.185.29.33,175.214.3.129,38077,8333,82af379d242e4d18b7a5b2c3e2ee400e,"[""bc1q1d8f01538ecb440db86666040145f8""]","[""37d77ac7f3f794bc59e8a408ff209e0""]",[0.03231918],[0.0322741],4.508e-05,P2PKH,IN,AS24560
2026-06-01T00:29:54.413977Z,207.49.248.228,215.58.56.255,19036,8333,43daded77d684676a972ceb2e03f610b,"[""bc1q75da999a3d7f45e88ee213f2251cf6""]","[""347f88ee92fe74a298a900754a3b57e"", ""15989a20f4236451e8fd43cf1d44e83""]",[0.16425828],"[0.08201969, 0.08201969]",0.00021891,P2PKH,US,AS16509
2026-06-01T00:55:57.794371Z,172.106.87.94,178.148.105.239,52190,8333,7cee940141f44f059096815db12b69db,"[""bc1q4a4b1108eee148d49c72e6965e55bc""]","[""bc1q773ace3c1d7f451e9feb7f84409fa8""]",[0.02826159],[0.02820891],5.268e-05,P2SH,RO,AS9009
2026-06-01T01:15:12.222588Z,222.18.137.123,198.68.14.60,34500,8333,7814a101861f4c9bb5164af383721aa9,"[""bc1q725f502c1ddc414d9f0048ef6beef2"", ""3d615b9df6a874db0972b84f9fbdfca"", ""bc1q94117f9d7a4b4d07b4285a0e4c4f92""]","[""14b0f403ff5db4db29d7c4a9f8f23da""]","[0.00987817, 0.00987817, 0.00987817]",[0.02953269],0.00010183,P2SH,FR,AS16276
2026-06-01T01:32:41.640775Z,170.40.218.51,118.8.226.245,51821,8333,e578f22d0f054ff2bb0af5d3b42cb184,"[""316dcfbed582c4bb4b4f9f6c08dfb1c""]","[""bc1qb882882e23dd4efdb06ce9d093deae""]",[0.08278788],[0.08270339],8.449e-05,P2WPKH,US,AS7922
2026-06-01T02:22:22.726642Z,181.198.76.172,208.77.106.112,50620,8333,c74787cd8f8f4b15b4bd17c6eb19164f,"[""bc1q537bcd52aa284f5c863de3a6cbeab5""]","[""bc1qdb64014687a1416693702842c358da""]",[0.03297297],[0.03288393],8.904e-05,P2PKH,NL,AS60068
2026-06-01T02:28:56.616737Z,194.108.246.245,223.254.215.4,36829,8333,04b4a7e60cfd4a16893dcc4ba0aaf433,"[""3d3552b2449b74dc09ce5d38552683f""]","[""17e076e4225664f3996cafd601d08c9""]",[0.04101952],[0.04088579],0.00013373,P2PKH,IN,AS9829
2026-06-01T02:33:00.415294Z,90.2.235.24,186.153.196.215,55423,8333,8f5817a386ee468d90f29dcc4c79eea6,"[""3e37ab70bb62447c1be109af62ad3e4""]","[""bc1q9c7a8b7850a346268875a8beca61ce""]",[0.00792799],[0.00791118],1.681e-05,P2WPKH,US,AS14061
2026-06-01T02:33:31.378736Z,162.87.247.89,198.152.105.162,18247,8333,b7913488475345ddbaf6fb1982236e97,"[""bc1qf6621f2c6ba545faaf30178f83ed9a""]","[""3c0cc7e903f2748508b6425f37d795b"", ""1e2db90d00e024b998638d5c4aa41e9"", ""399e2d264944346b9ac51f78814bd52""]",[0.07661078],"[0.0254987, 0.0254987, 0.0254987]",0.00011468,P2PKH,VN,AS45899
2026-06-01T02:47:10.978243Z,186.214.193.95,196.235.71.232,51855,8333,c9e1379bb1d44db8aa33708f675540af,"[""bc1q10a293f9c993476985eae75083eef6""]","[""186d28ebca92348fa854409585fe269"", ""1868056b7b3f44972ad2d7606161275""]",[0.03412132],"[0.01702091, 0.01702091]",7.95e-05,P2PKH,US,AS14061
2026-06-01T03:05:42.221046Z,192.159.106.142,7.205.211.24,39554,8333,de026671d961499da58dd9ecc0fb2ca8,"[""1d73e460d8de0406da58ba22d6e4414""]","[""bc1q3dcdcdc964e149b39168760d3102d1""]",[0.13013078],[0.12968647],0.00044431,P2WPKH,IN,AS24560
2026-06-01T03:07:53.809966Z,147.231.16.9,132.194.30.93,29084,8333,6673c3bc6a884c24b396e1fe78babe01,"[""12217fe7f8c76467dbb344f21a9bf91"", ""bc1qd32d984ab3b4477284d10eab1a6cf9"", ""bc1qc324ea53b0004bda83aa2c3fe83a8c""]","[""bc1qe2e8b97f5fc74d5ebbfe6cc9b13c40""]","[0.0253724, 0.0253724, 0.0253724]",[0.07583975],0.00027745,P2WPKH,NL,AS60068
2026-06-01T03:42:13.016685Z,109.29.135.198,196.33.177.1,54339,8333,719aaefd313a453997dfe4b83b97720f,"[""bc1qcc204d4832084e02b9fa6aeddc6ddc""]","[""bc1q0a3aa4f48e79491fbae8e26e0e2d84"", ""1cecf125eaa07444fbbe0f5da0ea098""]",[0.01423398],"[0.00710497, 0.00710497]",2.405e-05,P2TR,US,AS7922
2026-06-01T03:44:32.859239Z,197.214.197.233,3.66.8.70,35907,8333,348b56a25c1b40039ea4d33dfd89c9f8,"[""3bff83e9fcb67455194f388b315d63a""]","[""3f8ba33d8859d42ba9fd82dea423530""]",[0.15784962],[0.15744574],0.00040388,P2PKH,US,AS14061
2026-06-01T04:02:41.672584Z,72.98.133.77,13.39.77.231,22234,8333,3391398f8c8149c2989461aed7d0398e,"[""bc1q67510110d91847f690430c88a5516b""]","[""3c5535d87364649779121c7571e045b""]",[0.08129414],[0.0810902],0.00020394,P2PKH,IN,AS9829
2026-06-01T04:19:43.931086Z,123.82.202.30,193.39.100.89,18544,8333,298fc30965dd4f5cae89db0940442bf2,"[""188bc8df0d3d1483ba20bc197ca0af9""]","[""bc1qc4fe48989ac74d40b10cc043c1bec8""]",[0.04785986],[0.04777746],8.24e-05,P2WPKH,DE,AS3320
2026-06-01T04:40:02.108448Z,23.154.191.175,143.99.229.125,9909,8333,89d12fc6edc34ba18acc38ec0ac5884e,"[""bc1q17e7130989994b928b2a8b1211e97e""]","[""bc1qf2bdafaa55594303b353ba78e4fcf7""]",[0.01554181],[0.0154797],6.211e-05,P2WPKH,FR,AS16276
2026-06-01T04:50:26.856657Z,1.60.16.222,193.199.63.136,57846,8333,18b6ccc65cfd43d08c07e88cc2cc6af4,"[""bc1qa721f3a5a1bf404d9ec08fbb44b69c""]","[""bc1q1a3fe019be364b679525c027e88868"", ""3c6288f41ef2848db86d4a177d69e75""]",[0.03283259],"[0.01635029, 0.01635029]",0.000132,P2WPKH,RO,AS9009
2026-06-01T04:54:09.121735Z,169.65.166.79,197.83.176.252,17386,8333,8fc8d5001ca944fbb005c09fd22400af,"[""12e0533e6d7954e8ba7a983f9d24d9b""]","[""3845c7156c7054ffdb30105b991b171"", ""15909986368454ea0bc3b1493090d0b""]",[0.00711189],"[0.00354044, 0.00354044]",3.102e-05,P2WPKH,VN,AS45899
2026-06-01T05:03:45.420378Z,213.110.28.164,162.61.60.212,17247,8333,f1ebf1cb35b04f5cb4f40cfe1c247a91,"[""3c205edc1a21d49158b1bf8d803f459""]","[""bc1q3fbe24a2f5204864bb16711de3903c""]",[0.08515449],[0.08500591],0.00014858,P2WSH,IN,AS24560
2026-06-01T05:09:21.165075Z,149.28.131.75,203.216.138.63,38866,8333,05a3fa02e05040629cdb18b24f331acd,"[""347f88ee92fe74a298a900754a3b57e""]","[""3e5d2553666c54f14aea91e4ee525d4"", ""1fc649da353c74b34b043d4282f6781""]",[0.07314307],"[0.03649799, 0.03649799]",0.0001471,P2WPKH,VN,AS45899
2026-06-01T05:12:20.226383Z,102.112.60.47,78.219.114.131,25611,8333,83ddeb18716b4b0da5c7ed5bd89a0539,"[""309ab2ed1d6904f44a3a08e68a1aebe""]","[""bc1q0cf0778facc54e6184c99434a4c900""]",[0.04705837],[0.04692144],0.00013693,P2PKH,JP,AS4713
2026-06-01T05:35:11.969392Z,180.185.224.8,99.44.114.165,58703,8333,b3b3ccc928df4d67bf1d9f15c41b5cfd,"[""3ced030daacd743e6b8d45530a27358""]","[""bc1qeee47ae43b3a47418418aaf35dc112""]",[0.0321842],[0.03208673],9.747e-05,P2PKH,RO,AS9009
2026-06-01T05:40:19.710448Z,210.96.234.42,145.126.48.163,19257,8333,dcc0cd30be344d9782c795a171c1b3db,"[""371bdb80842d24b5e884ee042f24c35""]","[""1522fa3a09c994b4183f3dc5d05fb9d"", ""bc1q6d6f92514ec447c9ae06755551e0eb""]",[0.08556167],"[0.04269413, 0.04269413]",0.00017342,P2PKH,FR,AS16276
2026-06-01T05:44:03.377113Z,194.223.167.75,150.197.156.86,22473,8333,e54729555d0348f4bbcd06baa176e0c9,"[""bc1qb4709b88f20f47828c0b8889e4a184""]","[""145ae5da4e9854cc1b26037f965cf7d"", ""38c81c89950524acab5b19736a0407f""]",[0.0557398],"[0.02780661, 0.02780661]",0.00012658,P2PKH,RO,AS9009
2026-06-01T06:08:17.503973Z,200.186.84.139,199.221.27.44,7128,8333,5c4c7d3a49c3456487d3b32672e211d2,"[""3ec29ab64357c4298a3bf3d040407fd""]","[""bc1q699aacbaaeac4a55b3a9ddd9759121"", ""bc1q6218f4d153944529bd3837ad97c7e1""]",[0.03304814],"[0.01646055, 0.01646055]",0.00012703,P2WPKH,DE,AS3320
