wallet_id,address,home_ip,asn,country,typical_amount_btc,script_type
0,bc1q48c8f7a9f14244509548831ecfef03,216.205.10.74,AS3320,DE,0.08181572,P2WPKH
1,1c94ff653619a43c2aa0d3494704045,70.143.71.233,AS45899,VN,0.04335799,P2WPKH
2,bc1q699aacbaaeac4a55b3a9ddd9759121,203.75.32.207,AS16276,FR,0.09514897,P2WPKH
3,18f446596705b47ea8f8d182ea6faea,208.244.25.77,AS7922,US,0.22832844,P2PKH
4,bc1q4d65668ae430477d9e4cf45dec8971,65.178.195.236,AS9009,RO,0.03939354,P2WPKH
5,bc1q727dde3fb36a4100ae1bd968253893,221.108.180.212,AS60068,NL,0.03939419,P2WPKH
6,1e8b4de104e544f0ba977a3ce8e8ee6,122.57.188.12,AS14061,US,0.24152382,P2PKH
7,1446b8260ec894a64a8d7bc3f566a70,42.55.219.177,AS4713,JP,0.10725294,P2SH
8,373dd8c36b7e24a7da4f7c014144a24,216.228.82.113,AS4713,JP,0.03113339,P2TR
9,3c46cb14104ca4f3cab571bfc785321,85.138.195.222,AS3320,DE,0.08565395,P2SH
10,3ace162278038404680e6ad259df7fd,70.48.153.229,AS24560,IN,0.03132253,P2PKH
11,1682b339d41044fd1991addd09f2fc0,164.59.122.58,AS14061,US,0.03125019,P2PKH
12,35eebfab4126744efa1bd837558746e,39.253.38.222,AS3320,DE,0.06341609,P2PKH
13,bc1qc82f885564d84abbb2a1e310f59c5d,146.195.110.208,AS9009,RO,0.00734834,P2WPKH
14,bc1qcebe31f420b9478fad063e4360ee0b,206.228.160.231,AS3320,DE,0.00887144,P2WPKH
15,3a4705ff01d5647c3a95fb451e27e89,210.57.203.186,AS3320,DE,0.02837384,P2WSH
16,3b8c3556623bf4992a242a57b8396fc,50.133.85.19,AS9829,IN,0.01808213,P2WPKH
17,3a1ba9b0440744629a87e3b4d16b97f,19.59.103.90,AS4713,JP,0.06816987,P2SH
18,bc1q712162d1995540f8b1d106a4474d28,151.89.105.16,AS9829,IN,0.02008014,P2TR
