entity_id,n_addresses,n_profile_wallets,n_disposable_addresses,wallet_ids,n_alerts,max_priority_tier,risk_score,countries,n_countries,asns,n_asns,n_distinct_src_ips,cross_border,multi_asn,multi_ip_operator,approx_volume_btc,heuristics_used
E00000,13,1,12,740,0,none,0,VN,1,AS45899,1,1,False,False,False,2.29531148,common_input;likely_change_address;shared_src_ip
E00001,12,1,11,302,0,none,0,US,1,AS14061,1,1,False,False,False,4.44095552,common_input;likely_change_address;shared_src_ip
E00002,12,1,11,550,0,none,0,IN,1,AS24560,1,1,False,False,False,2.5480954,common_input;likely_change_address;shared_src_ip
E00003,11,1,10,242,0,none,0,IN,1,AS9829,1,1,False,False,False,3.32297763,common_input
E00004,11,1,10,598,0,none,0,IN,1,AS9829,1,1,False,False,False,1.27883853,common_input
E00005,11,1,10,720,0,none,0,NL,1,AS60068,1,1,False,False,False,2.93542298,common_input
E00006,11,1,10,730,0,none,0,IN,1,AS24560,1,1,False,False,False,1.15764161,common_input
E00007,10,1,9,380,0,none,0,US,1,AS16509,1,1,False,False,False,0.33318535,common_input
E00008,10,1,9,617,0,none,0,IN,1,AS24560,1,1,False,False,False,2.23591026,common_input
E00009,10,1,9,760,0,none,0,IN,1,AS24560,1,1,False,False,False,0.49325534,common_input
E00010,9,1,8,330,0,none,0,US,1,AS14061,1,1,False,False,False,1.18202123,likely_change_address;shared_src_ip
E00011,9,1,8,481,0,none,0,VN,1,AS45899,1,1,False,False,False,0.27619294,common_input
E00012,9,1,8,576,0,none,0,US,1,AS7922,1,1,False,False,False,1.30199965,common_input
E00013,9,1,8,615,0,none,0,FR,1,AS16276,1,1,False,False,False,0.9354213,common_input
E00014,8,1,7,37,0,none,0,DE,1,AS3320,1,1,False,False,False,0.08825266,common_input
E00015,8,1,7,94,0,none,0,IN,1,AS24560,1,1,False,False,False,1.48223852,common_input
E00016,8,1,7,102,0,none,0,VN,1,AS45899,1,1,False,False,False,0.4354492,common_input
E00017,8,1,7,116,0,none,0,IN,1,AS9829,1,1,False,False,False,0.79647906,common_input
E00018,8,1,7,307,0,none,0,US,1,AS14061,1,1,False,False,False,0.48837979,common_input
E00019,8,1,7,454,0,none,0,US,1,AS16509,1,1,False,False,False,1.49998403,common_input
E00020,8,1,7,539,0,none,0,FR,1,AS16276,1,1,False,False,False,0.48744886,common_input
E00021,8,1,7,584,0,none,0,US,1,AS7922,1,1,False,False,False,1.2517245,common_input
E00022,8,1,7,755,0,none,0,FR,1,AS16276,1,1,False,False,False,9.55548882,common_input;likely_change_address;shared_src_ip
