txid,n_inputs,n_outputs,n_unique_input_addresses,n_unique_output_addresses,total_input_btc,total_output_btc,input_output_ratio,fan_in_5plus,output_min_max_ratio,fee,first_input_addr,sender_tx_count_1h,sender_tx_count_24h,sender_time_since_last_tx_min,sender_distinct_asn_last10,sender_distinct_ip_last10,sender_amount_zscore,is_anomaly,anomaly_type,wallet_ids,canonical_wallet_id
21feaf01db18133387eca210cef075bc,1,2,1,2,0.09006202,0.08989518,1.001855939328449,0,1.0,0.00016684,bc1q94f79dc5811d2d1a89b71ea0d572c8,0,0,-1.0,0,0,0.0,0,normal,,281
08175dd0e6a7caf754ca6897be71cd60,1,2,1,2,0.01439785,0.01438064,1.001196747849887,0,1.0,1.72e-05,1238b052b64777c6177a771af70de70,0,0,-1.0,0,0,0.0,0,normal,,444
0244e4d75ac2a17666edef302fa80808,1,2,1,2,0.09577788,0.09561984,1.001652795068471,0,1.0,0.00015803,129993954a7b69b1cd66b09cf0e6d2b,0,0,-1.0,0,0,0.0,0,normal,,364
acf70176d72a88c46f2337c18d25f8e1,1,2,1,2,0.10792428,0.10771882,1.001907373289087,0,1.0,0.00020547,bc1q94f79dc5811d2d1a89b71ea0d572c8,1,1,42.82744,1,1,0.0,0,normal,,281
f01f7382e4fa62c2b398e4fc59dd9452,1,1,1,1,0.1190651,0.11887736,1.0015792746406884,0,1.0,0.00018774,1e723ad8c32bdb2d42a895e0fcf601f,0,0,-1.0,0,0,0.0,0,normal,,376
fd05bd92e02224327ca5192817dd0691,1,1,1,1,0.02474948,0.02465444,1.003854883745078,0,1.0,9.504e-05,bc1qd289f0618ae30595a5bafa431d029f,0,0,-1.0,0,0,0.0,0,normal,,188
7ee667ded93eea4d6a6a642bfabfa7ef,1,1,1,1,0.06059773,0.06038766,1.0034786908451163,0,1.0,0.00021007,33e0098ae441e21d25864f225d4a0fc,0,0,-1.0,0,0,0.0,0,normal,,341
c2492e9de74da3973df5deff456f25c0,1,1,1,1,0.13068247,0.13059112,1.0006995115747532,0,1.0,9.135e-05,1e723ad8c32bdb2d42a895e0fcf601f,1,1,51.289456666666666,1,1,0.0,0,normal,,376
265fd5c178e7e190642bb07d043217e4,1,2,1,2,0.01296801,0.01292044,1.0036817631597685,0,1.0,4.758e-05,1238b052b64777c6177a771af70de70,0,1,275.43090095,1,1,0.0,0,normal,,444
842f2c4b609629e6aabe05a366e7303c,1,1,1,1,0.07387212,0.07364651,1.0030634173975115,0,1.0,0.00022561,bc1q94f79dc5811d2d1a89b71ea0d572c8,0,2,256.89966051666664,1,1,-2.812749338549547,0,normal,,281
73b647b60332df27129be9561d52e1fc,1,2,1,2,0.07369826,0.07362214,1.0010339281091258,0,1.0,7.612e-05,1e723ad8c32bdb2d42a895e0fcf601f,0,2,172.73533893333334,1,1,-8.810173903387769,0,normal,,376
0e3b044173d03eba59d23f317c608faa,1,2,1,2,0.11618185,0.11596694,1.0018532005759573,0,1.0,0.00021491,1e723ad8c32bdb2d42a895e0fcf601f,1,3,14.574822966666666,1,1,0.340296049569858,0,normal,,376
eacb11a23482679667cc3176c02ac52a,1,3,1,3,0.01575941,0.015705300000000002,1.003445333740839,0,1.0,5.412e-05,bc1qd289f0618ae30595a5bafa431d029f,0,1,256.5526190666667,1,1,0.0,0,normal,,188
e126e19abcf3c36acd5ab9710bbf6b19,1,3,1,3,0.10821669,0.10788924,1.003035057064078,0,1.0,0.00032746,bc1q94f79dc5811d2d1a89b71ea0d572c8,0,3,105.63482781666667,1,1,1.2653201606521465,0,normal,,281
345835550907b93b0488d6eadd864484,1,3,1,3,0.13277459,0.13266621,1.000816937485438,0,1.0,0.00010838,1e723ad8c32bdb2d42a895e0fcf601f,2,4,38.5414856,1,1,1.0587742255457295,0,normal,,376
51cb3f06143567ed0cff84c2eb41ce2f,1,1,1,1,0.02851284,0.02842278,1.0031685851982106,0,1.0,9.006e-05,36e068025e979778d7248e2951f58d0,0,0,-1.0,0,0,0.0,0,normal,,60
073593d177329dc5f3be01918b42acfc,1,2,1,2,0.04989733,0.04985512,1.0008466532624933,0,1.0,4.22e-05,36e068025e979778d7248e2951f58d0,1,1,12.82074505,1,1,0.0,0,normal,,60
ea14c6e52002cc5ad225c7f3eaed6c60,1,2,1,2,0.0232959,0.02322618,1.0030017850546238,0,1.0,6.972e-05,36e068025e979778d7248e2951f58d0,2,2,27.80838225,1,1,-1.4879181126133942,0,normal,,60
