timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn
2026-06-01T02:16:23.346198Z,190.93.158.45,26.159.133.13,49064,8333,5fe927502d28a2a82baeafc76e52b671,"[""3db8f0eedef50031fce01e3042b03ca""]","[""31d9af682ec9f2dfbf6e16f9b3080d5"", ""349d0aaa78eb37c6ab62dbf8663e8bb""]",[0.10019239],"[0.04993548, 0.04993548]",0.00032143,P2SH,JP,AS4713
2026-06-01T04:23:47.934029Z,176.218.75.34,222.79.34.3,63720,8333,506d5518fc3b9c087c15262251eddb85,"[""35af3da38e59b2716dc5a6ea7890770"", ""345d370c89f884f2568221b8fd73af9""]","[""129993954a7b69b1cd66b09cf0e6d2b""]","[0.01817717, 0.01817717]",[0.03623121],0.00012313,P2WSH,VN,AS45899
2026-06-01T07:05:35.137550Z,190.93.158.45,155.167.36.174,20326,8333,8b0ed975e20ef7949de5d2eb28596e80,"[""3db8f0eedef50031fce01e3042b03ca""]","[""31d9af682ec9f2dfbf6e16f9b3080d5""]",[0.08113545],[0.08107864],5.681e-05,P2SH,JP,AS4713
2026-06-01T07:36:10.853524Z,190.93.158.45,151.162.141.114,43828,8333,cdd427760aea1ae2f5ca0a0f03f75276,"[""3db8f0eedef50031fce01e3042b03ca""]","[""31d9af682ec9f2dfbf6e16f9b3080d5""]",[0.09688707],[0.09666831],0.00021876,P2SH,JP,AS4713
2026-06-01T08:14:16.983640Z,210.209.98.196,12.240.83.138,28216,8333,21feaf01db18133387eca210cef075bc,"[""bc1q94f79dc5811d2d1a89b71ea0d572c8""]","[""bc1qfbddcf9c96e9ec4d71c366b41b3143"", ""3cf2df4c9720c70856188e7566b8b3a""]",[0.09006202],"[0.04494759, 0.04494759]",0.00016684,P2PKH,IN,AS24560
2026-06-01T08:22:00.173978Z,25.67.38.160,5.243.91.167,28618,8333,08175dd0e6a7caf754ca6897be71cd60,"[""1238b052b64777c6177a771af70de70""]","[""bc1q2c7dd6f664c7202fddb26a13106665"", ""16500f72238dfc60a4e3ccf48ef30ff""]",[0.01439785],"[0.00719032, 0.00719032]",1.72e-05,P2PKH,IN,AS9829
2026-06-01T08:28:59.483956Z,62.44.173.82,219.139.167.227,48369,8333,0244e4d75ac2a17666edef302fa80808,"[""129993954a7b69b1cd66b09cf0e6d2b""]","[""1638abd6df72cd3979aa0517317591a"", ""3e3e3e759875c7d0151ccb01b6f1a9e""]",[0.09577788],"[0.04780992, 0.04780992]",0.00015803,P2PKH,US,AS14061
2026-06-01T08:57:06.630040Z,210.209.98.196,18.252.61.30,10788,8333,acf70176d72a88c46f2337c18d25f8e1,"[""bc1q94f79dc5811d2d1a89b71ea0d572c8""]","[""16e417d5ff595ea5bc440f14b1a269b"", ""143a21dd12e73a175f1afb8e28a11d1""]",[0.10792428],"[0.05385941, 0.05385941]",0.00020547,P2PKH,IN,AS24560
2026-06-01T09:27:32.809394Z,172.166.240.95,198.230.77.89,21661,8333,f17f3f92d26aa790c5828939058e389e,"[""320da8958321ee48471b4b0ae1b9f69""]","[""bc1q1c63456e0ed1e8585d3f861d2324e6""]",[0.03745876],[0.03741187],4.689e-05,P2WPKH,FR,AS16276
2026-06-01T09:57:03.782733Z,213.49.33.16,193.4.129.235,24911,8333,89534e152ea37b78e466c9376da7c95b,"[""bc1q755ceef8ded777bb1e5ae817d821b8""]","[""bc1q9f8acd2e8ff5a8c47a3b7ed209383b"", ""14c9df05fd2bec365363c77787fb578""]",[0.01095264],"[0.00546099, 0.00546099]",3.065e-05,P2WPKH,NL,AS60068
