txid,n_inputs,n_outputs,n_unique_input_addresses,n_unique_output_addresses,total_input_btc,total_output_btc,input_output_ratio,fan_in_5plus,fee
250eec91a8b040dd8a9cd415c086c1be,1,1,1,1,0.20163206,0.20116455,1.0023240178252082,0,0.00046751
b39162797fcb45c9bf2ed0ffa4ad166c,1,2,1,2,0.18219274,0.18177808,1.0022811331267223,0,0.00041466
1817f756565341db912a5ab1372bdd6f,1,1,1,1,0.03231918,0.0322741,1.0013967856578496,0,4.508e-05
50600bfe7f8545d18ebdc35c1cd9f771,1,2,1,2,0.16425828,0.16403938,1.001334435670264,0,0.00021891
952512cf9f744ca59de8c5437ca617e3,1,1,1,1,0.02826159,0.02820891,1.0018674950574127,0,5.268e-05
dab2255ef8ae4102a9045d59ece4bc37,3,1,3,1,0.029634510000000003,0.02953269,1.0034477048992152,0,0.00010183
15751b2db96c4c469e94f49da8787b37,1,1,1,1,0.08278788,0.08270339,1.0010216026211258,0,8.449e-05
73fba68f8e5d41e48c325393db7b7ae2,1,1,1,1,0.03297297,0.03288393,1.0027077055570912,0,8.904e-05
9aca4aa1521e4a30a40347293fe06391,1,1,1,1,0.04101952,0.04088579,1.0032708185411117,0,0.00013373
0eab3a4d80974b609755cde6fd4a1837,1,1,1,1,0.00792799,0.00791118,1.0021248410477324,0,1.681e-05
663648a6298047ccae4a478a71b2bde2,1,3,1,3,0.07661078,0.0764961,1.0014991613951563,0,0.00011468
c9e5aa4932ed4677a8a2864729f0cbcd,1,2,1,2,0.03412132,0.03404182,1.0023353627978762,0,7.95e-05
c707b1edbcf4437b9aae22f2b6f5779b,1,1,1,1,0.13013078,0.12968647,1.0034260320294015,0,0.00044431
7ed2d373f9214545a5688f06fd6a36c5,3,1,3,1,0.0761172,0.07583975,1.0036583717641474,0,0.00027745
fcc53626754a4477a220fcd80124093f,1,2,1,2,0.01423398,0.01420994,1.0016917735050253,0,2.405e-05
bc78c041335c4c09bf8233c0c597a1a9,1,1,1,1,0.15784962,0.15744574,1.002565201192487,0,0.00040388
d70347cca6c648f9954712ee8c81e905,1,1,1,1,0.08129414,0.0810902,1.0025149771489033,0,0.00020394
341074e17b144239a78e7b366e709756,1,1,1,1,0.04785986,0.04777746,1.0017246626338026,0,8.24e-05
5d529b8e8ae04bc6b2f05c6edae497fe,1,1,1,1,0.01554181,0.0154797,1.004012351660562,0,6.211e-05
6a1941a07a0e4ebdaa25c1e66ac7507b,1,2,1,2,0.03283259,0.03270058,1.0040369314550384,0,0.000132
4cf5da5b5b6c44baa93ccc4facd37b09,1,2,1,2,0.00711189,0.00708088,1.0043793991707246,0,3.102e-05
d562326e3cdc4dd1982c49317e80fdd8,1,1,1,1,0.08515449,0.08500591,1.001747878471038,0,0.00014858
42a11186839a4a3bba106ea4e45356af,1,2,1,2,0.07314307,0.07299598,1.0020150424722019,0,0.0001471
