wallet_id,address,home_ip,asn,country,typical_amount_btc,script_type
0,bc1q4ceacd98a680493ca65216e7cbb5db,216.205.10.74,AS3320,DE,0.08181572,P2WPKH
1,1f0990a5e1b9e4305aa022116accb73,70.143.71.233,AS45899,VN,0.04335799,P2WPKH
2,bc1q06e63048c62f4ee19240963bc7013e,203.75.32.207,AS16276,FR,0.09514897,P2WPKH
3,12860a8b21ac44204949b8bde334d19,208.244.25.77,AS7922,US,0.22832844,P2PKH
4,bc1q9399885d261f4cd9bc0c8a70901eaf,65.178.195.236,AS9009,RO,0.03939354,P2WPKH
5,bc1q8252a0a21e024c3283a34793f33a5f,221.108.180.212,AS60068,NL,0.03939419,P2WPKH
6,109dc255b512644c999b0c5230d7f53,122.57.188.12,AS14061,US,0.24152382,P2PKH
7,1c86edd3e97444020862997bf799277,42.55.219.177,AS4713,JP,0.10725294,P2SH
8,365bc2ce3a51e4e45be64ede7e662db,216.228.82.113,AS4713,JP,0.03113339,P2TR
9,31bf9d60354fe4df3946655b83dcd97,85.138.195.222,AS3320,DE,0.08565395,P2SH
10,3af10ac70edbf404abbc795d7b05194,70.48.153.229,AS24560,IN,0.03132253,P2PKH
11,1b8c90a89fc9746678b0c72c6023646,164.59.122.58,AS14061,US,0.03125019,P2PKH
12,341da8efa3ec24698a23c3b77ba7df0,39.253.38.222,AS3320,DE,0.06341609,P2PKH
13,bc1qf391898029fa463ab94d4e5d43bd0d,146.195.110.208,AS9009,RO,0.00734834,P2WPKH
14,bc1q4bba324ce58e47a3862d8f53abd029,206.228.160.231,AS3320,DE,0.00887144,P2WPKH
15,3b00f22e90166427cbc7eb44550b1e9,210.57.203.186,AS3320,DE,0.02837384,P2WSH
16,3fa4abf3ecce64c20b8dc4f01e02164,50.133.85.19,AS9829,IN,0.01808213,P2WPKH
17,3144740e1978d492a9b4f496bb935e8,19.59.103.90,AS4713,JP,0.06816987,P2SH
18,bc1q03fdd785be1e424aa4a4a747ec1994,151.89.105.16,AS9829,IN,0.02008014,P2TR
19,bc1qf2102c57bfde4c0c872b76adc15851,101.107.68.129,AS3320,DE,0.01212721,P2WPKH
20,bc1q6ef4b7b8d30f4b32943d0facdeb761,210.72.237.234,AS45899,VN,0.21559552,P2SH
21,399e90df5dbe44d4cbdc90f84e6f09f,200.250.175.183,AS60068,NL,0.03972493,P2WPKH
22,bc1q3282087ebccc4607b5f99dfdc33a40,122.40.218.103,AS24560,IN,0.05326521,P2PKH
23,123b2fe79aef74cb3a77345f697fe19,202.112.113.102,AS24560,IN,0.01197723,P2PKH
24,1e9916dfeda1e4203b7a6f003762cf5,209.202.62.97,AS9009,RO,0.02888645,P2PKH
25,bc1q0d7600cb61d240edbf95785da2c10e,26.24.48.255,AS14061,US,0.05562751,P2WSH
26,bc1q21be70c416164763b70588f6c012cc,141.128.190.43,AS14061,US,0.01574876,P2PKH
27,1e1ad073c51614bb68a66cd881e44d7,197.66.58.235,AS16276,FR,0.07249034,P2PKH
28,bc1qb0b9508a228e43ae98a05980b5d141,57.82.8.116,AS16509,US,0.02730628,P2SH
29,12c47a405590c480b9ec45a8eea047f,216.121.229.251,AS4713,JP,0.0371908,P2SH
30,17a5b1ebcc0b74272bc60b1cbad3622,80.208.194.47,AS3320,DE,0.02727713,P2WPKH
31,bc1q00f4aa61ef184fc9b0296729b89329,207.49.248.228,AS16509,US,0.31735895,P2PKH
32,33f0368d9f5b0418b9896c1d4789c69,136.218.109.97,AS9009,RO,0.0491196,P2WPKH
33,bc1q1fe690f221034507bb6f39e5b56fe6,209.129.250.50,AS7922,US,0.01728855,P2WPKH
34,bc1q6652eac2c7dc4db7aaaebbe11399ab,74.61.37.32,AS16276,FR,0.11332958,P2WPKH
35,31150c391020a487a8f7faa2eb7c8b1,210.8.107.66,AS3320,DE,0.01468625,P2SH
36,3f54a9c42a10148b5a3836489a4079a,157.244.135.128,AS7922,US,0.06135145,P2WSH
37,3d87a74c7eb2f41818833ff6c2af015,208.94.13.114,AS16276,FR,0.00701524,P2WPKH
38,149f0f46a72984db2b287b342797c5e,203.196.78.167,AS60068,NL,0.01319145,P2WSH
39,bc1q953144bd5cbe45bc9806ebe1620c92,217.100.90.97,AS9009,RO,0.06061949,P2PKH
40,16311ae49d6604943992d4e2e6b1264,128.53.43.214,AS16276,FR,0.10419059,P2TR
41,bc1qf2225c81e63748aaa4bcd5efeac5b4,197.13.181.219,AS24560,IN,0.05909366,P2PKH
42,3a0dc9fa553334967bd38a60718d463,194.108.246.245,AS9829,IN,0.04434975,P2PKH
43,bc1q2fbc3d5e93544354a0681a19c9d0fc,214.93.122.209,AS3320,DE,0.03684248,P2WPKH
44,154c93eb5e7474714a19e01f072d81e,101.82.182.142,AS16276,FR,0.01135018,P2PKH
45,32d891935e2764122b952f6b914f042,199.0.74.245,AS16276,FR,0.02423774,P2PKH
46,bc1qc47f998ed7e143f9b5a2e1c5bcfc73,208.159.141.176,AS16509,US,0.03140969,P2TR
47,bc1qf865263a674e4a84bda63227e1a1c4,3.58.228.251,AS45899,VN,0.143291,P2PKH
48,bc1q9c79141845ac4d9591af41a8519bba,69.10.91.1,AS60068,NL,0.07020177,P2SH
49,bc1q52def496da4e4744bc62105fbe1579,36.109.250.82,AS14061,US,0.00853961,P2PKH
50,100382d098d414879bdba63efcfba64,194.131.121.13,AS24560,IN,0.06884374,P2WPKH
51,14844e773ff714beaa4c9d570139026,213.72.184.85,AS9009,RO,0.03387485,P2PKH
52,bc1q3618cabb00164051b2f78604bd07f4,189.138.88.147,AS60068,NL,0.02530073,P2PKH
53,13a875d615fc44592a35eb0ac852c13,2.205.250.139,AS24560,IN,0.09178341,P2WPKH
54,303bd92839d2147c7960830f5f12e40,219.243.15.142,AS60068,NL,0.13959632,P2PKH
55,1c5415fcbbff64cb1a507270ff7957e,171.206.82.98,AS9009,RO,0.12634742,P2SH
56,37d6e3bb245fc492cb08c2f70fdc2a8,68.25.0.23,AS16509,US,0.02151043,P2PKH
57,bc1q8a3d38bd9d714c3b934b317ff0af01,142.186.51.36,AS16509,US,0.03654495,P2SH
58,3b6858635d180473a85be5435451e93,210.69.147.74,AS7922,US,0.06933978,P2WPKH
59,bc1q1634ca12f488488e9a71c9fb3df894,200.234.111.183,AS3320,DE,0.13206582,P2SH
60,3da15739ca69643c5a37a20a110cdcd,6.164.183.177,AS3320,DE,0.03083286,P2PKH
61,bc1q7fd3511c76254a41b0bad1ada83c8c,49.210.146.78,AS14061,US,0.04135099,P2SH
62,31364593b9a434babbf27b4bd00f19b,212.59.230.13,AS14061,US,0.01646802,P2WSH
63,1f47e0dd69ba246338f25ed9b698a55,197.228.3.223,AS14061,US,0.01505257,P2PKH
64,bc1q9f2cac3eff7645b983ce53e81422cd,29.6.162.158,AS16276,FR,0.11219979,P2TR
65,17b86201795664ef6b761cb0c111bfa,91.150.87.180,AS4713,JP,0.19325205,P2SH
66,14851254485054aa5bc309a073a1741,157.227.187.108,AS16509,US,0.04632794,P2PKH
67,1bf08bf24bb3646a3af310e1739b965,211.38.61.61,AS16509,US,0.13581425,P2TR
68,3642280bb9ec942ca8a76d2f06cddf5,117.109.200.144,AS9829,IN,0.07147811,P2WPKH
69,bc1q0c001491e57f4ea9964b1a9f0f7899,76.44.97.251,AS16276,FR,0.02611828,P2WPKH
70,1da395c7798d5403a967cf435bf8785,221.128.13.236,AS45899,VN,0.07146093,P2PKH
71,15c430cf69f0a419b8d8c3bde73c345,107.255.53.11,AS9009,RO,0.23178074,P2WPKH
72,bc1q2040b3be90e242288fad9d2a2dac9a,113.145.8.190,AS24560,IN,0.04803497,P2PKH
73,3b263fdce5b414593bed7fef193acdc,32.241.202.234,AS16276,FR,0.23803053,P2PKH
74,bc1q0121482261f14126a33032a4b791df,2.242.13.119,AS3320,DE,0.00362557,P2PKH
75,170cf3b3916884c5182ce84db950ebc,119.179.164.227,AS60068,NL,0.1132568,P2SH
